split,task,method,projection_dimension,projection_seed,decay,decision_units,sequences,median_spearman,mean_pairwise_accuracy,mean_top1_accuracy,mean_normalized_regret,median_spearman_gain,mean_pairwise_accuracy_gain,mean_top1_accuracy_gain,mean_normalized_regret_gain
calibration,all,raw_repeated,32,42,0.95,360,8,0.2891304347826087,0.586815619967794,0.11944444444444445,0.30840876232593184,-0.01739130434782609,-0.016072866344605474,-0.008333333333333333,-0.020057665803108214
calibration,all,raw_repeated,32,31415,0.95,360,8,0.3041634795849432,0.5894122383252818,0.09166666666666666,0.3276510564109523,-0.0191304347826088,-0.01704911433172303,-0.041666666666666664,-0.017974452741896442
calibration,all,raw_repeated,32,271828,0.95,360,8,0.3411240669220719,0.5973933172302738,0.06944444444444445,0.32661200374989685,-0.022611153920730917,-0.013607085346215781,-0.05555555555555555,-0.036033210113965146
calibration,all,raw_repeated,64,42,0.95,360,8,0.29086956521739127,0.5918377616747182,0.10277777777777777,0.31070868937315704,-0.015652173913043445,-0.014593397745571658,-0.022222222222222223,-0.014030103093216641
calibration,all,raw_repeated,64,31415,0.95,360,8,0.3282608695652174,0.60408615136876,0.09444444444444444,0.31745698767018066,-0.013479679101425076,-0.009903381642512072,-0.03333333333333333,-0.010444245872342063
calibration,all,raw_repeated,64,271828,0.95,360,8,0.3493856928776145,0.5999295491143317,0.09444444444444444,0.3216505153810078,-0.027826086956521764,-0.014180756843800326,-0.03333333333333333,-0.029054455192866112
calibration,all,raw_repeated,128,42,0.95,360,8,0.3108695652173913,0.5975946054750403,0.11388888888888889,0.30503209678902476,-0.01043591719418352,-0.01358695652173913,-0.019444444444444445,-0.013057224369179953
calibration,all,raw_repeated,128,31415,0.95,360,8,0.3408695652173913,0.6061392914653784,0.1111111111111111,0.30727682145736446,-0.01304489649272933,-0.007065217391304349,-0.016666666666666666,-0.008427590201207098
calibration,all,raw_repeated,128,271828,0.95,360,8,0.34786419011915637,0.6031099033816425,0.10833333333333334,0.29625119264765676,-0.016956521739130474,-0.01300322061191626,-0.03333333333333333,-0.0011225436372080263
calibration,gov_report,block_rms_action,32,42,0.95,180,4,0.2647826086956522,0.5845008051529792,0.08333333333333333,0.257002294979927,0.0017391304347825765,0.001227858293075684,-0.016666666666666666,-0.012453693830715892
calibration,gov_report,block_rms_action,32,31415,0.95,180,4,0.25478260869565217,0.5896940418679548,0.1,0.27469085626528394,0.0,-0.0003220611916264086,0.005555555555555556,4.323168568274983e-05
calibration,gov_report,block_rms_action,32,271828,0.95,180,4,0.30652173913043473,0.5902777777777778,0.09444444444444444,0.2347863826752337,0.0,0.0006038647342995177,0.0,0.003968816749408959
calibration,gov_report,block_rms_action,64,42,0.95,180,4,0.26521739130434774,0.585366344605475,0.1,0.24658250651297464,0.0,0.00010064412238325172,0.005555555555555556,0.003594748608220475
calibration,gov_report,block_rms_action,64,31415,0.95,180,4,0.2904347826086956,0.596256038647343,0.08888888888888889,0.26772810000911335,-0.00217391304347829,-0.0012278582930756814,0.0,0.0007359304588360227
calibration,gov_report,block_rms_action,64,271828,0.95,180,4,0.31739130434782603,0.5956119162640902,0.1,0.2405758930351363,-0.0013043478260869427,-0.0008252818035426762,-0.011111111111111112,-0.007261745199272973
calibration,gov_report,block_rms_action,128,42,0.95,180,4,0.2617391304347826,0.5923711755233495,0.10555555555555556,0.25092370443450335,0.0,0.000342190016103063,0.005555555555555556,-0.0026948657842825858
calibration,gov_report,block_rms_action,128,31415,0.95,180,4,0.2960869565217391,0.5944243156199679,0.10555555555555556,0.2570018397978349,0.0,-2.0128824476651577e-05,0.0,0.005217772150962093
calibration,gov_report,block_rms_action,128,271828,0.95,180,4,0.3252173913043478,0.5977657004830919,0.10555555555555556,0.2436396911433145,0.0,-6.0386473429948565e-05,-0.005555555555555556,0.0032969164809121716
calibration,gov_report,block_rms_ema,32,42,0.95,180,4,0.2573913043478261,0.5830515297906602,0.09444444444444444,0.2584592264895416,-0.0008695652173912882,-0.00022141706924315595,-0.005555555555555556,-0.013910625340330518
calibration,gov_report,block_rms_ema,32,31415,0.95,180,4,0.26347826086956516,0.5881239935587761,0.08888888888888889,0.28191004709381806,-0.00130434782608696,-0.0018921095008051527,-0.005555555555555556,-0.007175959142851357
calibration,gov_report,block_rms_ema,32,271828,0.95,180,4,0.26782608695652166,0.586171497584541,0.09444444444444444,0.24131794866471384,-0.006086956521739087,-0.0035024154589372,0.0,-0.0025627492400712394
calibration,gov_report,block_rms_ema,64,42,0.95,180,4,0.2799999999999999,0.5855475040257648,0.10555555555555556,0.2415719707395774,0.001739130434782632,0.00028180354267311344,0.011111111111111112,0.008605284381617707
calibration,gov_report,block_rms_ema,64,31415,0.95,180,4,0.30565217391304345,0.5989130434782608,0.09444444444444444,0.2507741701713955,0.00304347826086956,0.001429146537842197,0.005555555555555556,0.01768986029655383
calibration,gov_report,block_rms_ema,64,271828,0.95,180,4,0.3178260869565217,0.5941425120772947,0.10555555555555556,0.21941481114475964,-0.00478260869565221,-0.002294685990338168,-0.005555555555555556,0.013899336691103693
calibration,gov_report,block_rms_ema,128,42,0.95,180,4,0.2643478260869565,0.5909621578099838,0.11666666666666667,0.22700065775967798,-0.001739130434782632,-0.0010668276972624754,0.016666666666666666,0.0212281808905427
calibration,gov_report,block_rms_ema,128,31415,0.95,180,4,0.29565217391304344,0.596195652173913,0.1111111111111111,0.25430991894530736,0.00043478260869561636,0.0017512077294685993,0.005555555555555556,0.00790969300348961
calibration,gov_report,block_rms_ema,128,271828,0.95,180,4,0.34173913043478255,0.5967391304347827,0.1111111111111111,0.23659635680167612,0.0008695652173912882,-0.0010869565217391302,0.0,0.01034025082255055
