sample_id,sample_cluster,task,anchor,future_step,global_generation_index,strategy,target_horizon,layer,head,attention_output_relative_error,delta_nll,approx_kl
gov_report:0,gov_report::gov_report:0,gov_report,0,22,21,attention_weighted_v_ridge_leverage,64,14,11,0.5349025130271912,0.9382423725226232,0.45039043137763235
gov_report:0,gov_report::gov_report:0,gov_report,0,22,21,attention_weighted_v_ridge_leverage,64,27,0,0.19156847894191742,0.9382423725226232,0.45039043137763235
gov_report:0,gov_report::gov_report:0,gov_report,0,22,21,attention_weighted_v_ridge_leverage,64,27,11,0.17132727801799774,0.9382423725226232,0.45039043137763235
gov_report:0,gov_report::gov_report:0,gov_report,0,23,22,attention_weighted_v_ridge_leverage,64,0,0,0.1491960883140564,0.0004762538130194116,6.112970658266048e-05
gov_report:0,gov_report::gov_report:0,gov_report,0,23,22,attention_weighted_v_ridge_leverage,64,0,11,0.10516837239265442,0.0004762538130194116,6.112970658266048e-05
gov_report:0,gov_report::gov_report:0,gov_report,0,23,22,attention_weighted_v_ridge_leverage,64,14,0,0.36329248547554016,0.0004762538130194116,6.112970658266048e-05
gov_report:0,gov_report::gov_report:0,gov_report,0,23,22,attention_weighted_v_ridge_leverage,64,14,11,0.6802698373794556,0.0004762538130194116,6.112970658266048e-05
gov_report:0,gov_report::gov_report:0,gov_report,0,23,22,attention_weighted_v_ridge_leverage,64,27,0,0.20119896531105042,0.0004762538130194116,6.112970658266048e-05
gov_report:0,gov_report::gov_report:0,gov_report,0,23,22,attention_weighted_v_ridge_leverage,64,27,11,0.33426424860954285,0.0004762538130194116,6.112970658266048e-05
gov_report:0,gov_report::gov_report:0,gov_report,0,24,23,attention_weighted_v_ridge_leverage,64,0,0,0.14367853105068207,-0.0022448777820933685,0.0009909718901132615
gov_report:0,gov_report::gov_report:0,gov_report,0,24,23,attention_weighted_v_ridge_leverage,64,0,11,0.06727145612239838,-0.0022448777820933685,0.0009909718901132615
gov_report:0,gov_report::gov_report:0,gov_report,0,24,23,attention_weighted_v_ridge_leverage,64,14,0,0.12746725976467133,-0.0022448777820933685,0.0009909718901132615
gov_report:0,gov_report::gov_report:0,gov_report,0,24,23,attention_weighted_v_ridge_leverage,64,14,11,0.4924895167350769,-0.0022448777820933685,0.0009909718901132615
gov_report:0,gov_report::gov_report:0,gov_report,0,24,23,attention_weighted_v_ridge_leverage,64,27,0,0.13929221034049988,-0.0022448777820933685,0.0009909718901132615
gov_report:0,gov_report::gov_report:0,gov_report,0,24,23,attention_weighted_v_ridge_leverage,64,27,11,0.25321462750434875,-0.0022448777820933685,0.0009909718901132615
gov_report:0,gov_report::gov_report:0,gov_report,0,25,24,attention_weighted_v_ridge_leverage,64,0,0,0.09567781537771225,9.676607551512006e-05,1.5000924096054149e-05
gov_report:0,gov_report::gov_report:0,gov_report,0,25,24,attention_weighted_v_ridge_leverage,64,0,11,0.06882218271493912,9.676607551512006e-05,1.5000924096054149e-05
gov_report:0,gov_report::gov_report:0,gov_report,0,25,24,attention_weighted_v_ridge_leverage,64,14,0,0.3446083068847656,9.676607551512006e-05,1.5000924096054149e-05
gov_report:0,gov_report::gov_report:0,gov_report,0,25,24,attention_weighted_v_ridge_leverage,64,14,11,0.4140043556690216,9.676607551512006e-05,1.5000924096054149e-05
gov_report:0,gov_report::gov_report:0,gov_report,0,25,24,attention_weighted_v_ridge_leverage,64,27,0,0.21929523348808289,9.676607551512006e-05,1.5000924096054149e-05
gov_report:0,gov_report::gov_report:0,gov_report,0,25,24,attention_weighted_v_ridge_leverage,64,27,11,0.281574010848999,9.676607551512006e-05,1.5000924096054149e-05
gov_report:0,gov_report::gov_report:0,gov_report,0,26,25,attention_weighted_v_ridge_leverage,64,0,0,0.15045560896396637,0.41722260530504585,0.04627980252309721
gov_report:0,gov_report::gov_report:0,gov_report,0,26,25,attention_weighted_v_ridge_leverage,64,0,11,0.17923367023468018,0.41722260530504585,0.04627980252309721
gov_report:0,gov_report::gov_report:0,gov_report,0,26,25,attention_weighted_v_ridge_leverage,64,14,0,0.6267818808555603,0.41722260530504585,0.04627980252309721
gov_report:0,gov_report::gov_report:0,gov_report,0,26,25,attention_weighted_v_ridge_leverage,64,14,11,0.5778195858001709,0.41722260530504585,0.04627980252309721
