policy,feature,label,n,n_positive,spearman,rank_auc,precision_at_0.05,benefit_alerted_at_0.05,benefit_nonalerted_at_0.05,benefit_lift_at_0.05,precision_at_0.1,benefit_alerted_at_0.1,benefit_nonalerted_at_0.1,benefit_lift_at_0.1,precision_at_0.25,benefit_alerted_at_0.25,benefit_nonalerted_at_0.25,benefit_lift_at_0.25
ALL,coverage_mass_mean,tail_event,512,10,0.010920318537398771,0.3637450199203187,0.0,0.00241316655106797,-0.003077013668237134,0.005490180219305104,0.0,0.001321423801915754,-0.0032539673022411782,0.004575391104156932,0.0,-0.0018962370919231894,-0.0030988749079929995,0.0012026378160698101
ALL,coverage_mass_mean,any_benefit,512,248,0.010920318537398771,0.5418041300097751,0.6538461538461539,0.00241316655106797,-0.003077013668237134,0.005490180219305104,0.6274509803921569,0.001321423801915754,-0.0032539673022411782,0.004575391104156932,0.5859375,-0.0018962370919231894,-0.0030988749079929995,0.0012026378160698101
ALL,stale_action_l1_lag4,tail_event,512,10,-0.0296438402287265,0.5231075697211155,0.0,0.003486255965649332,-0.003134421743914326,0.006620677709563658,0.0,-0.01209900927162015,-0.0017692773092903517,-0.0103297319623298,0.0,-0.006178974168437781,-0.001671295882488135,-0.004507678285949646
ALL,stale_action_l1_lag4,any_benefit,512,248,-0.0296438402287265,0.4951735092864125,0.5769230769230769,0.003486255965649332,-0.003134421743914326,0.006620677709563658,0.49019607843137253,-0.01209900927162015,-0.0017692773092903517,-0.0103297319623298,0.4921875,-0.006178974168437781,-0.001671295882488135,-0.004507678285949646
ALL,stale_action_l1_lag16,tail_event,512,10,-0.0296438402287265,0.5231075697211155,0.0,0.003486255965649332,-0.003134421743914326,0.006620677709563658,0.0,-0.01209900927162015,-0.0017692773092903517,-0.0103297319623298,0.0,-0.006178974168437781,-0.001671295882488135,-0.004507678285949646
ALL,stale_action_l1_lag16,any_benefit,512,248,-0.0296438402287265,0.4951735092864125,0.5769230769230769,0.003486255965649332,-0.003134421743914326,0.006620677709563658,0.49019607843137253,-0.01209900927162015,-0.0017692773092903517,-0.0103297319623298,0.4921875,-0.006178974168437781,-0.001671295882488135,-0.004507678285949646
ALL,compressed_margin,tail_event,512,10,0.004799438020376735,0.1711155378486056,0.0,9.15065145024478e-10,-0.0029479142720723736,0.0029479151871375188,0.0,2.0057154464523263e-09,-0.0031077796414901685,0.003107781647205615,0.0,-0.00210159489264917,-0.0030304223077510053,0.0009288274151018354
ALL,compressed_margin,any_benefit,512,248,0.004799438020376735,0.4968383431085044,0.4230769230769231,9.15065145024478e-10,-0.0029479142720723736,0.0029479151871375188,0.49019607843137253,2.0057154464523263e-09,-0.0031077796414901685,0.003107781647205615,0.46875,-0.00210159489264917,-0.0030304223077510053,0.0009288274151018354
ALL,compressed_entropy,tail_event,512,10,-0.011007714345279066,0.8703187250996016,0.038461538461538464,-0.00491712220872824,-0.0026848583024867193,-0.0022322639062415206,0.0392156862745098,-0.0024426346096922368,-0.0028375530311088412,0.0003949184214166045,0.0703125,0.0015689406827732455,-0.004253934166225144,0.005822874848998389
ALL,compressed_entropy,any_benefit,512,248,-0.011007714345279066,0.49972507331378296,0.4230769230769231,-0.00491712220872824,-0.0026848583024867193,-0.0022322639062415206,0.37254901960784315,-0.0024426346096922368,-0.0028375530311088412,0.0003949184214166045,0.4765625,0.0015689406827732455,-0.004253934166225144,0.005822874848998389
ALL,churn_x_1minus_margin,tail_event,504,10,-0.026986220348817053,0.4987854251012146,0.0,0.0009180743730995886,-0.0030389105882316692,0.003956984961331258,0.0,0.001868577458552278,-0.0033614871924297217,0.005230064650982,0.015873015873015872,-0.0005031389543731243,-0.0036224624449324497,0.003119323490559325
