sample_id,cycle,layer,pool,mass_k28,mass_k92,mass_k156,mass_k220,mass_k284
gov_report:86,60,12,971,0.668379567700946,0.821476260330378,0.8843419117561092,0.9182968148096637,0.939959534204523
gov_report:86,60,13,971,0.6948041432443224,0.8566224021877266,0.9157959135637272,0.9479975146983101,0.9660817159578571
gov_report:86,60,14,971,0.7949367411213913,0.8985402872496293,0.9356427736527902,0.9564049683508493,0.9687308578532928
gov_report:86,60,15,971,0.7199894393429404,0.8767122877440674,0.9295857019009642,0.9563124169949121,0.9714359943680908
gov_report:86,60,16,971,0.6580251421613681,0.8277836855963381,0.8937529229877067,0.9294933011698535,0.9521832694392847
gov_report:86,60,17,971,0.6353068744036081,0.8420631583427548,0.9143119231261859,0.9485412478104472,0.9672282498762279
gov_report:86,60,18,971,0.5249437984066206,0.7997368889056243,0.8909673964933637,0.933507314987065,0.9577933198629622
gov_report:86,60,19,971,0.7021328412228833,0.8753367726390096,0.9336176829443348,0.9591953215958281,0.9730941578548195
gov_report:86,60,20,971,0.7113452803797121,0.9020650335118343,0.9515092890051389,0.9681336071582404,0.9781279334825148
gov_report:86,60,21,971,0.7608514438255677,0.9092385599117542,0.9492920702272637,0.969690279342051,0.9811073566296948
gov_report:86,60,22,971,0.7772208343230864,0.8960217575735041,0.9354630487008873,0.9554054590421265,0.9673916951497278
gov_report:86,60,23,971,0.7940702774292107,0.9281921840205832,0.9654290921444758,0.9800328800091398,0.9874102441355707
gov_report:86,60,24,971,0.7642185772349084,0.9034377958547712,0.9488927338372661,0.9708177585487578,0.981706349569612
gov_report:86,60,25,971,0.8822184695279969,0.9501753094247243,0.973337223206925,0.9822308582438699,0.9876005093112946
gov_report:86,60,26,971,0.8584381361148216,0.9373771763107812,0.9621497724958322,0.9748377903262557,0.981718895010974
gov_report:86,60,27,971,0.8611114444704392,0.9384833333879062,0.9616285912503271,0.97473655012756,0.9818581431567784
gov_report:86,60,28,971,0.8475319170907809,0.9356168651652884,0.9614871355516129,0.9746426815053822,0.9820896158761083
gov_report:86,60,29,971,0.9029896547217445,0.9600004951861162,0.9781046553688492,0.9861589564058948,0.9903025827573244
gov_report:86,60,30,971,0.896808568984978,0.9541458414917219,0.9714775541318842,0.9802177826932522,0.9854581835505686
gov_report:86,60,31,971,0.9012859351774388,0.9554347636284963,0.9752798608954438,0.9842372704966502,0.9888284794030254
gov_report:86,60,32,971,0.9160507911552789,0.9686508715439027,0.9809882098868145,0.9862660123748243,0.98953468486338
gov_report:86,60,33,971,0.8987245632102536,0.953600665617721,0.9733795092975392,0.9830910147357611,0.9884779171094895
gov_report:86,60,34,971,0.8876440851981536,0.9486799774790752,0.9697222746008631,0.9798371961533252,0.9854073437543399
gov_report:86,60,35,971,0.8484441294691676,0.9170865502958901,0.9330820401125088,0.94454457010191,0.9538788477870401
gov_report:86,61,0,972,0.587957712320511,0.7538983809236667,0.8218824079050041,0.8613482589674469,0.8913114738302271
gov_report:86,61,1,972,0.471032527899585,0.712640688198366,0.8154367367371763,0.8645045754649134,0.8937412727728385
gov_report:86,61,2,972,0.5872301893636215,0.8027903445814235,0.8549943203702125,0.8833474850498477,0.9040719598431765
gov_report:86,61,3,972,0.7407900903996633,0.890376360248124,0.9213414212798259,0.9377220688869548,0.9497843495233083
gov_report:86,61,4,972,0.7472689525571312,0.8709198275815478,0.9041297817129278,0.9256029588772882,0.941341052994045
gov_report:86,61,5,972,0.6970257013970738,0.8365032552651623,0.8826429241609581,0.9102778659452142,0.9291848881346282
gov_report:86,61,6,972,0.6856183515949598,0.818119673811061,0.8627294305067984,0.891904640728641,0.913202386188969
gov_report:86,61,7,972,0.8841153031269753,0.9376710761766684,0.9543352245457124,0.9645375108832325,0.9720369583650887
gov_report:86,61,8,972,0.7620369792670649,0.8700888209838765,0.9065301613969214,0.9280147260395589,0.9441767060223341
gov_report:86,61,9,972,0.7711158133897721,0.8670377272829488,0.907476538670873,0.9319223970623844,0.9477320094045503
gov_report:86,61,10,972,0.8291505604000645,0.9080693286248352,0.9351119570435691,0.9499054866907123,0.9599870968733948
gov_report:86,61,11,972,0.7760213859699818,0.8807371347944537,0.9218622356612888,0.9436593661909998,0.9575485174656043
gov_report:86,61,12,972,0.7202623455402042,0.8400317857137446,0.8948296608072023,0.9257015993572512,0.9455557821979821
gov_report:86,61,13,972,0.7203683483199533,0.8709441862278734,0.9194652690496097,0.9468574989513946,0.9637585839437757
gov_report:86,61,14,972,0.788615448330048,0.8975261525430299,0.9327146510284069,0.9535815675712125,0.9663182223508484
gov_report:86,61,15,972,0.714566359240525,0.8606205452493697,0.9144280961893897,0.9452841920474039,0.9643169540854464
gov_report:86,61,16,972,0.6387516483254776,0.8153563603925958,0.8850694352493274,0.9245852693424343,0.9491840916738918
gov_report:86,61,17,972,0.6504675289643308,0.8504164425909998,0.9151663347125014,0.9485533862657061,0.9692379649628745
gov_report:86,61,18,972,0.5735243766948257,0.8005651984207669,0.8879154591951393,0.935873018928143,0.9619229486941233
gov_report:86,61,19,972,0.6656469862414192,0.8367478266701887,0.9023511977064644,0.9403217602415226,0.9609634843939475
gov_report:86,61,20,972,0.7015815476913889,0.8689174213136984,0.9242455476333613,0.952670080452383,0.9690040157855434
gov_report:86,61,21,972,0.7490278722784806,0.8844383892674209,0.9361423244472009,0.9629715411333121,0.9778273086227598
gov_report:86,61,22,972,0.7590308721588426,0.8904030894724037,0.9340503890259685,0.9552478080830987,0.968439161162373
gov_report:86,61,23,972,0.7955736412967911,0.9172571635750935,0.9579363867472156,0.9751313830974453,0.9841186530516388
gov_report:86,61,24,972,0.7579171585829507,0.8988499561473021,0.9502726077621861,0.9731796112476283,0.9843640061873181
gov_report:86,61,25,972,0.8648346711754802,0.9446440414050532,0.9666535445227837,0.9777691733644983,0.9842021012881123
gov_report:86,61,26,972,0.8575193485138292,0.9299247803894781,0.9576208838305214,0.9720712809891113,0.9807156526142325
gov_report:86,61,27,972,0.8384140971781954,0.9194027250577419,0.948623466836564,0.9637943712626721,0.9735623827693962
gov_report:86,61,28,972,0.8676934343800762,0.932519857909284,0.9579849707587728,0.9720775103433431,0.9804006893528451
gov_report:86,61,29,972,0.8297916358083756,0.9234711636696883,0.9537944829580918,0.9700460213299454,0.9795666330929466
gov_report:86,61,30,972,0.8384229608760959,0.9218808057723152,0.9506354782427874,0.9654631118883572,0.9748296256320252
gov_report:86,61,31,972,0.8637307124383146,0.9316071211666838,0.958243372122556,0.9733694796098514,0.9819251377256164
gov_report:86,61,32,972,0.9300048739753606,0.9665874943592395,0.9801842579197622,0.9871093536391498,0.9909978164633625
gov_report:86,61,33,972,0.8416365117533697,0.9096392044800976,0.9426827885947467,0.9625169742795386,0.974804059718993
gov_report:86,61,34,972,0.8448810977151515,0.9151706363869412,0.9468086789220546,0.9640526207614092,0.974124773625556
gov_report:86,61,35,972,0.8105535062928615,0.8952173369039952,0.9167848212620935,0.9306348041527551,0.9419357873330403
gov_report:86,62,0,973,0.6533038533844513,0.797948043295347,0.8548391518716841,0.8924188366267792,0.9176673082813177
gov_report:86,62,1,973,0.41450225082311,0.6703722627102464,0.777317453060628,0.8297046759382123,0.8633978819367973
gov_report:86,62,2,973,0.4913038559541196,0.7326666311576675,0.7991843195491708,0.8358472731015354,0.863973352588575
gov_report:86,62,3,973,0.6569403742432116,0.8330782002920115,0.8787268277375221,0.9071702456918602,0.926469178782436
gov_report:86,62,4,973,0.7051939001175466,0.8395475417784037,0.8855781510282295,0.9135409426865126,0.9329096328105486
gov_report:86,62,5,973,0.6831611557672964,0.8498821552502691,0.8938147551146298,0.9196463363724078,0.9371999480350024
gov_report:86,62,6,973,0.6083288135641224,0.7975506509175722,0.8534349124911316,0.8860185305817262,0.9101288913088732
gov_report:86,62,7,973,0.9149880701979639,0.9510055400707534,0.96353797449308,0.9712166956623023,0.9769499373342041
gov_report:86,62,8,973,0.7889063404097079,0.8785820661253626,0.9133745243424405,0.9348043622345902,0.9494754042553735
gov_report:86,62,9,973,0.790147954416801,0.8738983911939168,0.9111425528589745,0.9340462883567981,0.9498106721259104
gov_report:86,62,10,973,0.8357673311721212,0.9190606462113773,0.9434642711417977,0.9564376207835066,0.9654113989524463
gov_report:86,62,11,973,0.7930620768257537,0.8960881925227392,0.9340433805655767,0.9520407146098484,0.9640799588812691
gov_report:86,62,12,973,0.7371577094881752,0.8663240241031896,0.9131695364333654,0.9377039037156495,0.9539156014054501
gov_report:86,62,13,973,0.7634523276629616,0.8842998405341573,0.9262387399838424,0.9502780499124305,0.9651418579680324
gov_report:86,62,14,973,0.7827477175773385,0.8964510541515489,0.9348988034314374,0.9548327361484487,0.9670425733751465
gov_report:86,62,15,973,0.7523807938769139,0.8769123327538088,0.921687076815068,0.9459436067674848,0.9622694595130042
gov_report:86,62,16,973,0.6371677292901247,0.8150690682471661,0.8851295980268631,0.9234348039209767,0.9473833905053971
gov_report:86,62,17,973,0.6954350005451884,0.8630702378042353,0.9222455083332409,0.9498975681465166,0.966820501552049
gov_report:86,62,18,973,0.597524471476774,0.7904699282568671,0.8697278603498221,0.9162211694175608,0.9453316044430107
gov_report:86,62,19,973,0.7120853542430444,0.8542507594214314,0.9106125375369067,0.939796979843289,0.9575436153704467
gov_report:86,62,20,973,0.7692051624846229,0.898553600297249,0.9424069230760656,0.9639580772590598,0.9756203991394581
gov_report:86,62,21,973,0.8175314476525923,0.9125874771322121,0.9489712199756606,0.9681224013694264,0.9789124237399637
gov_report:86,62,22,973,0.7642320639967447,0.8918565253328192,0.9317310831368814,0.953683591887454,0.9668239236958442
gov_report:86,62,23,973,0.8166628583992964,0.9249439819748719,0.9574752913690326,0.974244393322406,0.9831543430851466
gov_report:86,62,24,973,0.7747777594224111,0.890567450828835,0.9373171850177827,0.9612103997797271,0.9749623504972494
gov_report:86,62,25,973,0.9239877664481372,0.9650221573121297,0.9774070023198682,0.9843804822822075,0.9887186240765774
gov_report:86,62,26,973,0.8928264333812085,0.9431126654572424,0.9640318031008939,0.9750098819893409,0.9818534530274987
gov_report:86,62,27,973,0.878556062408682,0.9330157023510116,0.9568200458959162,0.9701578597593812,0.9786982979362854
gov_report:86,62,28,973,0.9177201880496322,0.9542000361213288,0.969221592421429,0.9784855041721129,0.9844231299848127
gov_report:86,62,29,973,0.8898841011693427,0.9387083946730177,0.9593852249120839,0.9721272102167434,0.9803214195564729
gov_report:86,62,30,973,0.8754088280387736,0.9368901851330506,0.9585285639781845,0.9703144141860983,0.9781699761710501
gov_report:86,62,31,973,0.901161742827541,0.947200855230841,0.9674246436536887,0.9781448513421149,0.9847104428155494
gov_report:86,62,32,973,0.9298535934518167,0.9686216587860537,0.9806706215566822,0.9867987346401371,0.9903048331480415
gov_report:86,62,33,973,0.9011612271471102,0.9452548392769716,0.9655878170011191,0.9771576709083901,0.9844092436227483
gov_report:86,62,34,973,0.8798940505966396,0.9385303312119825,0.9614821104317033,0.9741823860300637,0.9809388546950774
gov_report:86,62,35,973,0.8535750733968113,0.9185392547120208,0.9364637370923187,0.9480522613015007,0.9573909351420744
gov_report:86,63,0,974,0.624913785998676,0.7783557353998599,0.8396065845738384,0.8792665750292161,0.9065032909822119
gov_report:86,63,1,974,0.413312333478709,0.6654230360368585,0.7783030332380085,0.835746674112261,0.8708711348460628
gov_report:86,63,2,974,0.561667043157458,0.7795015826587925,0.8344162763128024,0.8661347964211694,0.8908681471440236
gov_report:86,63,3,974,0.6870638682232618,0.8493663553667243,0.893995344614568,0.9185807703251216,0.9362809062242428
gov_report:86,63,4,974,0.6362220321911428,0.7959990261500955,0.850753551051351,0.8840236487575986,0.9077729043696695
gov_report:86,63,5,974,0.6518697517578766,0.8283944094119079,0.8785041338387912,0.908909524277361,0.9297547765608619
gov_report:86,63,6,974,0.6209510131407259,0.7924297960355012,0.8463580974282682,0.8802289185951111,0.9055465299047581
gov_report:86,63,7,974,0.902534655672932,0.9460895206795992,0.9606884008946789,0.9691818579451018,0.9753881117691395
gov_report:86,63,8,974,0.7640416146330362,0.8686118756934265,0.9060036694239769,0.928771168546323,0.9451258447512368
gov_report:86,63,9,974,0.7572408140348792,0.8674789775549798,0.9077354101554314,0.932072852127216,0.9489001280313561
gov_report:86,63,10,974,0.7739721901459633,0.8747891840177422,0.9117533307892312,0.9335628697652708,0.9479598347105342
gov_report:86,63,11,974,0.732374997779558,0.8655029569502705,0.9140112503104021,0.9404588503679746,0.9570847763004705
gov_report:86,63,12,974,0.6998282211673553,0.8511721335481399,0.9078242102261656,0.9360333556825338,0.953893342357983
gov_report:86,63,13,974,0.7350798543930622,0.8691398484280721,0.9169886435765469,0.9432170874023997,0.9610561856182559
gov_report:86,63,14,974,0.7385452011691362,0.8694271194708258,0.9151447034181764,0.9407155040072328,0.9568896461627326
gov_report:86,63,15,974,0.6536545758243307,0.8318847714303522,0.8918303778934842,0.9270202112998075,0.9485316459657357
gov_report:86,63,16,974,0.603771883051407,0.803262902198526,0.8715810754773968,0.9126382807664835,0.9398758290757189
gov_report:86,63,17,974,0.6026218923306244,0.8331993633435029,0.9041844629969678,0.9390795674560471,0.9612979713894803
gov_report:86,63,18,974,0.5277890259657759,0.7744831326066096,0.8678347722572011,0.9174733566315638,0.9466076296895345
gov_report:86,63,19,974,0.6784871322516648,0.8591477027703285,0.9173752176546301,0.9476323707252732,0.964512721723127
gov_report:86,63,20,974,0.6123804858350933,0.847275126521862,0.9155572315239464,0.9490003455309212,0.966046482087068
gov_report:86,63,21,974,0.707684521147949,0.883620451573289,0.9372298367098778,0.9605683974715734,0.9737272167539872
gov_report:86,63,22,974,0.7634542796468575,0.9230606759803751,0.9586545450953966,0.9710849861660429,0.9789150299236477
gov_report:86,63,23,974,0.7796048871824415,0.9277465355206121,0.9642314942390918,0.977596544272986,0.9848991605805448
gov_report:86,63,24,974,0.736507471678723,0.8856688198392529,0.9396772134834795,0.9654947386957463,0.9785410864726527
gov_report:86,63,25,974,0.8834365719646492,0.9580857915553951,0.9747766001761357,0.9821010906136068,0.9866132852364736
gov_report:86,63,26,974,0.839576609940809,0.9250677886384003,0.9574610711004821,0.97299062622131,0.9801123570524423
gov_report:86,63,27,974,0.8653840209703525,0.9326101055447839,0.9562581421978804,0.9686917420425263,0.9767062318981033
gov_report:86,63,28,974,0.8513248225881771,0.9270870870720175,0.9536702432648877,0.9669914010737157,0.9756037744638237
gov_report:86,63,29,974,0.8931641722796395,0.951807150272387,0.9691744823327886,0.9783389932830651,0.9840023574587772
gov_report:86,63,30,974,0.9268631651411894,0.9607880531460821,0.9736726580940879,0.9809271897807625,0.9856797672527087
gov_report:86,63,31,974,0.9191106960608213,0.9599332549989774,0.9743285176718997,0.9814183341607805,0.9859868980441264
gov_report:86,63,32,974,0.9178150987413066,0.966858121695728,0.9775547665262644,0.9834340661680832,0.9874406642822209
gov_report:86,63,33,974,0.9009017026034478,0.943671606495047,0.9625794475484872,0.9739569544646604,0.9814334518774721
gov_report:86,63,34,974,0.8993648342312007,0.9439537053228563,0.9618984065801742,0.9720862416037593,0.9790124210153768
gov_report:86,63,35,974,0.8384177293110514,0.9174091824719346,0.9353749797230406,0.9471860135318939,0.9562929236972698
gov_report:87,0,0,929,0.5438083465250971,0.6886736271999426,0.7542345955685495,0.7985701193337306,0.8325492118871808
gov_report:87,0,1,929,0.6590068030229509,0.8235284191724436,0.879067410667178,0.9090802971092415,0.929611301990425
gov_report:87,0,2,929,0.7455401829126976,0.8675615734150932,0.900964227699835,0.9220080980751466,0.9376144071328807
gov_report:87,0,3,929,0.7928194498081542,0.9028290033234652,0.9281517951732089,0.943525104506125,0.9544982681261263
gov_report:87,0,4,929,0.8277142143955722,0.9269230765878925,0.9500757121585913,0.9623216153750407,0.970815498274229
gov_report:87,0,5,929,0.7729130945208379,0.8766882454173006,0.9113056286102582,0.9316362555289286,0.9466214071095866
gov_report:87,0,6,929,0.6940602909817704,0.8394400268544776,0.8809338849399287,0.9080216240298449,0.9285141984118236
gov_report:87,0,7,929,0.9255983458366516,0.9552504298240534,0.9664547317568191,0.9736601496506867,0.9789400248047051
gov_report:87,0,8,929,0.9408959417592255,0.9703808602134684,0.9783582125829605,0.9831676211884949,0.9866324180807217
gov_report:87,0,9,929,0.9790905787462559,0.9926487923946771,0.9945941192610028,0.995825884352541,0.9966981609792919
gov_report:87,0,10,929,0.9688172273482875,0.9831147115106615,0.9869650722673514,0.9896113380147135,0.9917011314691886
