sample_id,task,cycle,layer,head,shared_mass,own_mass,own_shared_overlap,gain
synthetic_niah_86,niah_single_1,0,15,1,0.9955082372544202,0.997226960507062,0.7363636363636363,0.001718723252641885
synthetic_niah_86,niah_single_1,0,15,2,0.9783963544215959,0.9822875168059677,0.8090909090909091,0.0038911623843718157
synthetic_niah_86,niah_single_1,0,15,3,0.9977528631415334,0.9983445546735885,0.759090909090909,0.000591691532055072
synthetic_niah_86,niah_single_1,0,15,4,0.9964889483259893,0.9975520251092599,0.7909090909090909,0.0010630767832705557
synthetic_niah_86,niah_single_1,0,15,5,0.9901737122823083,0.9959204841447835,0.45,0.005746771862475186
synthetic_niah_86,niah_single_1,0,15,6,0.9951575573983571,0.9969051290865346,0.5545454545454546,0.0017475716881775183
synthetic_niah_86,niah_single_1,0,15,7,0.9963866476459513,0.9978302509592557,0.6909090909090909,0.001443603313304398
synthetic_niah_86,niah_single_1,0,16,0,0.9975571453248588,0.9978990447156276,0.8590909090909091,0.00034189939076878506
synthetic_niah_86,niah_single_1,0,16,1,0.9972742403099536,0.9981240057905165,0.7954545454545454,0.0008497654805629251
synthetic_niah_86,niah_single_1,0,16,2,0.9881673869767642,0.9896303966692679,0.7545454545454545,0.0014630096925036806
synthetic_niah_86,niah_single_1,0,16,3,0.9968936479120756,0.9975752919149335,0.8090909090909091,0.0006816440028579729
synthetic_niah_86,niah_single_1,0,16,4,0.9920980805959163,0.9930752498812165,0.8454545454545455,0.0009771692853002278
synthetic_niah_86,niah_single_1,0,16,5,0.9978181295478816,0.9987156740604285,0.7636363636363637,0.0008975445125468662
synthetic_niah_86,niah_single_1,0,16,6,0.9882599969461273,0.9897026947585678,0.8227272727272728,0.001442697812440441
synthetic_niah_86,niah_single_1,0,16,7,0.988819736845714,0.9900044400467226,0.8636363636363636,0.0011847032010086078
synthetic_niah_86,niah_single_1,0,17,0,0.9964476336271256,0.9972276587831075,0.7681818181818182,0.0007800251559818561
synthetic_niah_86,niah_single_1,0,17,1,0.9944319828288677,0.99499582930392,0.8636363636363636,0.0005638464750523653
synthetic_niah_86,niah_single_1,0,17,2,0.9991337169690294,0.9994045455374039,0.7681818181818182,0.00027082856837445934
synthetic_niah_86,niah_single_1,0,17,3,0.9977742771751459,0.9981501461708785,0.8181818181818182,0.0003758689957326089
synthetic_niah_86,niah_single_1,0,17,4,0.9958773169337254,0.9968510226541502,0.8181818181818182,0.0009737057204247668
synthetic_niah_86,niah_single_1,0,17,5,0.9987686251519656,0.9993146758135779,0.7363636363636363,0.0005460506616122851
synthetic_niah_86,niah_single_1,0,17,6,0.997618551634574,0.998109937709571,0.8909090909090909,0.0004913860749969912
synthetic_niah_86,niah_single_1,0,17,7,0.9987602503368949,0.9990835444593192,0.7318181818181818,0.00032329412242437794
synthetic_niah_86,niah_single_1,0,18,0,0.9925902941106026,0.9947106437463263,0.6818181818181818,0.0021203496357237173
synthetic_niah_86,niah_single_1,0,18,1,0.9996378521827372,0.9997396356240295,0.8227272727272728,0.00010178344129230243
