rule,held_out_sample,threshold,alert_rate,auc,precision,recall,benefit_alerted,benefit_nonalerted,lift_positive
rankprod:stale_action_l1_lag16*tv_x_churn,gov_report:98,0.5396522556390977,0.0859375,0.5150273224043715,0.0,0.0,-0.0446442851274611,0.005582686411444283,False
rankprod:stale_action_l1_lag16*tv_x_churn,synthetic_niah_96,0.41423284774436087,0.21875,,0.0,,-0.0241358976339098,-0.0012382919094799274,False
and:stale_action_l1_lag16&compressed_entropy,gov_report:96,0.59765625,0.0,0.8024193548387097,,0.0,,0.0024286358683844253,False
and:stale_action_l1_lag16&compressed_entropy,gov_report:97,0.5499712171052629,0.40625,,0.0,,-0.018249697910505347,-0.0020660560694980247,False
and:stale_action_l1_lag16&compressed_entropy,gov_report:98,0.5625,0.375,0.7547814207650273,0.10416666666666667,0.8333333333333334,0.0016569715153309517,0.0010319067625127894,True
and:stale_action_l1_lag16&compressed_entropy,synthetic_niah_96,0.59765625,0.0,,,,,-0.006247143161698962,False
rankprod:stale_action_l1_lag16*compressed_entropy,gov_report:96,0.5326026354337994,0.0546875,0.8870967741935484,0.14285714285714285,0.25,0.0282539107969829,0.0009346116989613725,True
rankprod:stale_action_l1_lag16*compressed_entropy,gov_report:97,0.5274578054327714,0.0859375,,0.0,,-0.0015957170928066428,-0.009303005680403887,True
rankprod:stale_action_l1_lag16*compressed_entropy,gov_report:98,0.5417597399259868,0.078125,0.8073770491803278,0.2,0.3333333333333333,0.0369726613163948,-0.001759656266330841,True
rankprod:stale_action_l1_lag16*compressed_entropy,synthetic_niah_96,0.5248205566406251,0.03125,,0.0,,-0.08549364283680916,-0.0036908044625018586,False
and:churn_jaccard_mean&churn_jaccard_min,gov_report:96,0.5912698412698413,0.0,0.560483870967742,,0.0,,0.0024286358683844253,False
and:churn_jaccard_mean&churn_jaccard_min,gov_report:97,0.5912698412698413,0.0,,,,,-0.00864066056740725,False
and:churn_jaccard_mean&churn_jaccard_min,gov_report:98,0.5793650793650794,0.8125,0.519808743169399,0.04807692307692308,0.8333333333333334,0.0006741502669483603,0.0038323144155949693,False
and:churn_jaccard_mean&churn_jaccard_min,synthetic_niah_96,0.5912698412698413,0.0,,,,,-0.006247143161698962,False
rankprod:churn_jaccard_mean*churn_jaccard_min,gov_report:96,0.3496000251952633,0.0,0.560483870967742,,0.0,,0.0024286358683844253,False
