sample_id,task,anchor,lag,global_generation_index,layer,head,strategy,event_signal,signal_magnitude,robust_z,percentile_rank,event_by_mad,event_by_top_quantile,selected_set_turnover,oracle_overlap,token_text,token_text_availability,event_thresholds,stale_loss,refreshed_loss,refresh_benefit
gov_report:0,gov_report,0,128,127.0,27,1.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0800735026350594e-06,1.382046284070945,0.970136698212408,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,115,114.0,14,0.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.0098228813149035e-06,2.7712273263754357,0.9804416403785489,False,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,117,116.0,14,0.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,9.957720976672135e-07,2.5648412404587115,0.9684542586750788,False,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,67,66.0,14,1.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.0564017429715022e-06,2.457805990853548,0.9787592008412198,False,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,35,34.0,27,0.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.0470525921846274e-06,1.9837794538631497,0.9644584647739222,False,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,36,35.0,27,0.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.101981297324528e-06,2.859432931722481,0.9915878023133544,False,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,39,38.0,27,0.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.1639746162472875e-06,3.8477079180069165,0.9993690851735015,True,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,40,39.0,27,0.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.0779817785078194e-06,2.4768413147295707,0.9852786540483701,False,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,43,42.0,27,0.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.1054057722503785e-06,2.9140246678834854,0.9926393270241851,False,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,56,55.0,27,0.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.043220095198194e-06,1.9226831781270222,0.9621451104100947,False,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,61,60.0,27,0.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.052942479873309e-06,2.0776739053281696,0.9707676130389065,False,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,64,63.0,27,0.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.0698337291614735e-06,2.346948069845586,0.9808622502628812,False,True,0.004545454545454519,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,82,81.0,27,0.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.0367373306507943e-06,1.8193372989985122,0.9556256572029442,False,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,84,83.0,27,0.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.0340800145058893e-06,1.7769753296396604,0.9520504731861199,False,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,86,85.0,27,0.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.0456329846419976e-06,1.9611485857454127,0.9640378548895899,False,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,116,115.0,27,0.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.0435779813633417e-06,1.9283884694567759,0.9625657202944269,False,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,119,118.0,27,0.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.0755958328445558e-06,2.438805435079779,0.9838065194532072,False,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,1,0.0,27,1.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.098764869311708e-06,1.9944299986607736,0.9842271293375394,False,True,0.0,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,8,7.0,27,1.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.1530709116414073e-06,2.6084469388473934,0.9953732912723449,False,True,0.0,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,32,31.0,27,1.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.0595954336167779e-06,1.5515566824978582,0.9528916929547845,False,True,0.004545454545454519,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,42,41.0,27,1.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.109100594476331e-06,2.1112919548619336,0.9890641430073607,False,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,50,49.0,27,1.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.058026782629895e-06,1.5338205662598354,0.9512092534174553,False,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,82,81.0,27,1.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.0819360340974526e-06,1.804153015439869,0.9751840168243954,False,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,100,99.0,27,1.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.0973240023304243e-06,1.9781386856298488,0.983596214511041,False,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,106,105.0,27,1.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.0745757208496798e-06,1.7209328648758688,0.965720294426919,False,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,109,108.0,27,1.0,attention_weighted_v_ridge_leverage,selected_core_new_token_residual_spike,1.061049260897562e-06,1.5679945325088624,0.9547844374342797,False,True,,0.32661040623742554,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,16,6,21.0,14,0.0,snapkv,selected_core_new_token_residual_spike,9.758052783581661e-07,2.3416588489938923,0.9629863301787592,False,True,,0.2885358048585334,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,16,60,75.0,14,0.0,snapkv,selected_core_new_token_residual_spike,9.900761597236851e-07,2.5665679371527497,0.9779179810725552,False,True,,0.2885358048585334,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,16,16,31.0,27,0.0,snapkv,selected_core_new_token_residual_spike,1.0634876161930151e-06,2.1511288988633233,0.9819137749737119,False,True,0.32727272727272727,0.2885358048585334,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,16,44,59.0,27,0.0,snapkv,selected_core_new_token_residual_spike,1.0370555401095771e-06,1.843997397028587,0.9661409043112513,False,True,,0.2885358048585334,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,16,62,77.0,27,1.0,snapkv,selected_core_new_token_residual_spike,1.1031833082597586e-06,2.9143187702565436,0.9892744479495268,False,True,,0.2885358048585334,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,16,89,104.0,27,1.0,snapkv,selected_core_new_token_residual_spike,1.1075044312747195e-06,2.967448536270065,0.9903259726603575,False,True,,0.2885358048585334,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,16,80,95.0,14,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,9.266325946555298e-07,3.0301903046868617,0.8559411146161935,True,False,,0.13614157648056097,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,16,81,96.0,14,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,9.9690396382357e-07,4.5005687658158235,0.9749737118822293,True,True,,0.13614157648056097,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
