strategy,horizon,task,scope,metric,mean,median,q10,q25,q75,q90,cluster_bootstrap_mean_ci_low,cluster_bootstrap_mean_ci_high,n_rows,n_samples
v_ridge_leverage,1,reasoning_long_generation,task,max_delta_nll,0.015084824978682814,-0.00019179911416600248,-0.08339874134029017,-0.0553761885054449,0.006348345245701381,0.05228538713750835,-0.02500196425968658,0.08128546630039621,15,5
v_ridge_leverage,1,reasoning_long_generation,task,avg_approx_kl,0.02414601131600162,0.00884843122023966,1.1990673010702718e-05,0.0002823600980655324,0.017048537850678586,0.027547612683201023,0.006390015813278112,0.05462058479221764,15,5
v_ridge_leverage,1,reasoning_long_generation,task,attention_output_error_mean,0.17383777867540223,0.15147521595160165,0.1279928403130422,0.1344465776346624,0.19908380896473926,0.2634580949292285,0.15256658802795248,0.19510896932285202,15,5
v_ridge_leverage,1,reasoning_long_generation,task,oracle_overlap,0.4409784415875564,0.44928061358712734,0.38793619905298393,0.42618974758050626,0.4649956616439296,0.4820790576747535,0.4218044366419802,0.46022689747586815,15,5
v_ridge_leverage,4,gov_report,task,avg_delta_nll,0.4979108327567406,0.07983553118699138,-0.046358596486748914,-0.004439880412290709,0.937932444965393,1.4270655236372927,0.29885471119675755,0.7623445209553641,15,5
v_ridge_leverage,4,gov_report,task,max_delta_nll,1.8138712941156705,0.4559896232915328,0.071384063941143,0.16131193002696698,2.935563391044454,5.0959322571649075,1.18615942474757,2.6951377081628296,15,5
v_ridge_leverage,4,gov_report,task,avg_approx_kl,0.4498093172851213,0.44906841296706285,0.028844783552703295,0.06134199935251361,0.6230132693046704,1.1009270423523834,0.2975954816387938,0.6813180564892967,15,5
v_ridge_leverage,4,gov_report,task,attention_output_error_mean,0.3868526254366669,0.38818449433892965,0.2675501601460079,0.30822696684238815,0.42938518966548145,0.5366949276998638,0.33642856910203894,0.44188397663335005,15,5
v_ridge_leverage,4,gov_report,task,oracle_overlap,0.15054706897385103,0.14298314417508937,0.10491394859992946,0.12817795184258718,0.16784723216399644,0.19931054006073645,0.1288676168036524,0.1750855046417372,15,5
v_ridge_leverage,4,niah_single_1,task,avg_delta_nll,0.006209595737047202,0.0011987994221218656,-0.004475702149507832,-1.1211387438425646e-05,0.00919035960645953,0.02584616178092939,0.0017907428756117837,0.010658734413087838,15,5
v_ridge_leverage,4,niah_single_1,task,max_delta_nll,0.024632463246836524,0.004821911177167237,7.267261865706588e-06,5.7508057983213234e-05,0.03929945302539295,0.06365352261075187,0.01325156370344279,0.03816342690906278,15,5
v_ridge_leverage,4,niah_single_1,task,avg_approx_kl,0.0015974144806821427,0.00028133868769937185,2.297387600798062e-06,3.5755900889335786e-05,0.0005762682372466672,0.0053229117010917815,0.00020698501644551143,0.0032142285589936703,15,5
v_ridge_leverage,4,niah_single_1,task,attention_output_error_mean,0.09154227608721864,0.09944828956698377,0.05128328804858029,0.07151536015135207,0.10798434336902574,0.12503785048611463,0.08592548242710361,0.09708280972048418,15,5
v_ridge_leverage,4,niah_single_1,task,oracle_overlap,0.48495779392487315,0.45203548636035784,0.40948396285950445,0.4296935224378667,0.565076527352081,0.5958363195253975,0.4791157919850771,0.49157275509109744,15,5
v_ridge_leverage,4,reasoning_long_generation,task,avg_delta_nll,0.008472269850457851,-0.006868741953346635,-0.026113697247743595,-0.017292243788653128,0.018779454076781832,0.06234702916293705,-0.008775292973098973,0.025100544074623404,15,5
v_ridge_leverage,4,reasoning_long_generation,task,max_delta_nll,0.0961466435165183,0.014459285311065884,0.00035774567959521173,0.005422805280367982,0.08593789854964662,0.3534880768014381,0.036907503954207735,0.15028352994854638,15,5
v_ridge_leverage,4,reasoning_long_generation,task,avg_approx_kl,0.014447746805815669,0.0049508350681842905,0.001603593255913401,0.002910803479535207,0.008785230881465319,0.045633082050792195,0.0061540347000395325,0.022741458911591808,15,5
