sample_id,task,cycle,generated_token_id,pool_scoring_forward_time_s,exact_kl,js,full_nll,perturbed_nll,delta_nll,logit_l2_sq,fisher_quadratic
gov_report:90,gov_report,23,80457,0.12233329099990442,2.9154468847991666e-06,7.251275633279874e-07,0.0003240775258745998,0.00031275625224225223,-1.1321273632347584e-05,4309.6181640625,3.105801397396135e-06
gov_report:86,gov_report,1,19237,0.12231124999993881,2.8232179829501547e-06,6.198707751536858e-07,2.8371408916427754e-05,1.8000440832111053e-05,-1.03709680843167e-05,2788.6650390625,3.1592853702022694e-06
gov_report:87,gov_report,40,311,0.1267758750000212,2.7465443963592406e-06,7.158996595535427e-07,0.018387459218502045,0.018686210736632347,0.00029875151813030243,10492.6943359375,2.904839448092389e-06
synthetic_niah_87,niah_single_1,25,279,0.1342966249999904,2.4423072773060994e-06,5.271457439448568e-07,1.0847986231965479e-05,5.125986263010418e-06,-5.7219999689550605e-06,66903.4609375,3.071394075959688e-06
gov_report:86,gov_report,17,14131,0.12462349999998423,2.2797100882598897e-06,5.171998509467812e-07,0.0003303935518488288,0.0003066784702241421,-2.3715081624686718e-05,1770.909423828125,2.400081257292186e-06
synthetic_niah_86,niah_single_1,33,279,0.13538679200000558,2.0080997273907997e-06,3.9597642853550497e-07,4.172316494077677e-06,1.311301275563892e-06,-2.861015218513785e-06,29961.650390625,2.9389652809186373e-06
gov_report:88,gov_report,58,8954,0.12312037499998496,1.9532128590071807e-06,4.819881382900348e-07,7.581423415103927e-05,9.023735765367746e-05,1.4423123502638191e-05,10465.36328125,1.7526980400361936e-06
synthetic_niah_88,niah_single_1,39,12884,0.1352235830000268,1.8278356037626509e-06,2.9897890385655046e-07,1.7881377516459906e-06,3.576278118089249e-07,-1.4305099398370658e-06,91546.984375,2.895664692914579e-06
synthetic_niah_89,niah_single_1,34,279,0.13378525000001673,1.768697416082432e-06,3.948804874198686e-07,9.536697689327411e-06,4.887569048150908e-06,-4.649128641176503e-06,7102.8603515625,2.3011359644442564e-06
synthetic_niah_89,niah_single_1,59,11,0.13621429199997692,1.6943325817919686e-06,2.72490666475278e-07,1.6689286894688848e-06,3.576278118089249e-07,-1.31130087765996e-06,39160.1328125,2.7159132969245547e-06
