strategy,lag,metric,estimate,ci_low,ci_high,n_samples,n_rows,uncertainty
snapkv,36,future_new_token_residual,9.13323589202264e-07,8.995472192907527e-07,9.459361365315999e-07,15,270,95% sample-cluster bootstrap CI
snapkv,37,future_new_token_residual,9.272464751575171e-07,9.082500014301331e-07,9.488177106220519e-07,15,270,95% sample-cluster bootstrap CI
snapkv,38,future_new_token_residual,9.456600196244835e-07,9.229745785432897e-07,9.68813424151449e-07,15,270,95% sample-cluster bootstrap CI
snapkv,39,future_new_token_residual,9.164300536212977e-07,9.008770689433732e-07,9.415946351509774e-07,15,270,95% sample-cluster bootstrap CI
snapkv,40,future_new_token_residual,9.270975738218112e-07,9.13944846558934e-07,9.427345887047523e-07,15,270,95% sample-cluster bootstrap CI
snapkv,41,future_new_token_residual,9.316713089901896e-07,9.146504005741462e-07,9.466090205023647e-07,15,270,95% sample-cluster bootstrap CI
snapkv,42,future_new_token_residual,9.289906302001327e-07,9.10000778731046e-07,9.532214448881859e-07,15,270,95% sample-cluster bootstrap CI
snapkv,43,future_new_token_residual,9.128298188443296e-07,8.985732577571071e-07,9.246779768545821e-07,15,270,95% sample-cluster bootstrap CI
snapkv,44,future_new_token_residual,9.149912330030929e-07,8.90090102245722e-07,9.302702324021084e-07,15,270,95% sample-cluster bootstrap CI
snapkv,45,future_new_token_residual,9.057553995717171e-07,8.77464432846864e-07,9.235369503812762e-07,15,270,95% sample-cluster bootstrap CI
snapkv,46,future_new_token_residual,9.268201779377705e-07,8.99395617892651e-07,9.459867612804373e-07,15,270,95% sample-cluster bootstrap CI
snapkv,47,future_new_token_residual,9.214163583237678e-07,9.080044662823639e-07,9.324469374405453e-07,15,270,95% sample-cluster bootstrap CI
snapkv,48,future_new_token_residual,9.182553526443371e-07,8.999581432078685e-07,9.36440851972975e-07,15,270,95% sample-cluster bootstrap CI
snapkv,49,future_new_token_residual,9.110947019053128e-07,8.8817166812305e-07,9.417010460310848e-07,15,270,95% sample-cluster bootstrap CI
