gamma,task,layer,history_id,candidate_source,row_count,median_cosine,median_relative_l2,median_residual_norm,row_pass_fraction
0.125,gov_report,0,H3,snapkv,4,0.9999153533297738,0.013428890134596489,0.02354916785519938,1.0
0.125,gov_report,0,H3,v_ridge,4,0.9999044282318794,0.014092875860389894,0.023067792207635964,1.0
0.125,gov_report,14,H1,aor,4,0.9999554603574408,0.011121372668203835,0.02122825477044643,1.0
0.125,gov_report,14,H1,aov,4,0.9999562701368492,0.011079038661547202,0.01874136953703126,1.0
0.125,gov_report,14,H1,attention_only,4,0.9999604600638945,0.011227676312796885,0.01938688883900167,1.0
0.125,gov_report,14,H1,fresh_core,4,0.9972337767789168,0.08858591292369965,1.50012615446198,1.0
0.125,gov_report,14,H1,old_stale_core,4,0.9968823025321523,0.08582596012476096,1.4026668999640368,0.75
0.125,gov_report,14,H1,random_reference,4,0.9971223553165236,0.08214731836620494,1.4150706090763032,1.0
0.125,gov_report,14,H1,snapkv,4,0.9999018968850248,0.01761932203405258,0.041337968089998026,1.0
0.125,gov_report,14,H1,v_ridge,4,0.9967963490497151,0.09109002400123148,1.5152832521843032,1.0
0.125,gov_report,14,H2,aor,4,0.9999637377250241,0.01035808246608858,0.021075196335588832,1.0
0.125,gov_report,14,H2,aov,4,0.9999646511855178,0.010330151840097022,0.018335533661697156,1.0
0.125,gov_report,14,H2,attention_only,4,0.9999689571380544,0.01074201997943876,0.02010863199575779,1.0
0.125,gov_report,14,H2,fresh_core,4,0.9967093849598119,0.09861180867079039,1.5204791910607316,1.0
0.125,gov_report,14,H2,old_stale_core,4,0.9970620219712347,0.0857657769243527,1.30517183436827,0.75
0.125,gov_report,14,H2,random_reference,4,0.9973897629401405,0.08098093229712867,1.28142135360457,1.0
0.125,gov_report,14,H2,snapkv,4,0.9999104540036945,0.01795380818571437,0.04281035680415776,1.0
0.125,gov_report,14,H2,v_ridge,4,0.9957940775904779,0.10568072615581803,1.549278677989279,1.0
0.125,gov_report,14,H3,aor,4,0.9999494831159154,0.010962808815864339,0.024463002171256916,1.0
0.125,gov_report,14,H3,aov,4,0.9999500220696227,0.010987392350493765,0.02128449759325004,1.0
0.125,gov_report,14,H3,attention_only,4,0.9999493364082914,0.011383682965308218,0.022793001300009833,1.0
0.125,gov_report,14,H3,fresh_core,4,0.9972786857761505,0.0946240304728865,2.112426449327594,0.75
0.125,gov_report,14,H3,old_stale_core,4,0.9964052790471831,0.09696964373560842,1.8133810939080806,0.75
0.125,gov_report,14,H3,random_reference,4,0.9968800077028518,0.08936778571222012,2.17860520756186,1.0
0.125,gov_report,14,H3,snapkv,4,0.9998675977936025,0.02056891475421627,0.04714779221478334,1.0
0.125,gov_report,14,H3,v_ridge,4,0.9969507613568245,0.09329122057380193,1.9004612174096558,0.75
0.125,gov_report,26,H1,aor,4,0.999995524887423,0.0031019912020871787,0.008478169034670918,1.0
0.125,gov_report,26,H1,aov,4,0.9999961499931582,0.0028047814438071474,0.008498145373150754,1.0
0.125,gov_report,26,H1,attention_only,4,0.9999938818407621,0.0034576856232389737,0.016205935431350744,1.0
0.125,gov_report,26,H1,fresh_core,4,0.999969306647631,0.008157029809384134,0.07794193596657628,1.0
0.125,gov_report,26,H1,old_stale_core,4,0.9999734951620101,0.00713460680139822,0.05896186089286702,1.0
0.125,gov_report,26,H1,random_reference,4,0.9999658279874413,0.008543421355795222,0.08223173765738331,1.0
0.125,gov_report,26,H1,snapkv,4,0.999991275738038,0.004182534880512965,0.022504551005976148,1.0
0.125,gov_report,26,H1,v_ridge,4,0.9999635033739083,0.009016089813835101,0.08785822065374148,1.0
0.125,gov_report,26,H2,aor,4,0.9999956822741416,0.0029622222894959706,0.00812910549268816,1.0
0.125,gov_report,26,H2,aov,4,0.9999961208898281,0.00280530334786507,0.008307966342055183,1.0
0.125,gov_report,26,H2,attention_only,4,0.9999941988594109,0.0033726472240687717,0.015741593006474125,1.0
0.125,gov_report,26,H2,fresh_core,4,0.9999702973040838,0.007988848203931132,0.07568885684092268,1.0
0.125,gov_report,26,H2,old_stale_core,4,0.9999739622170787,0.007043680203156696,0.05749218494396121,1.0
0.125,gov_report,26,H2,random_reference,4,0.9999671684272473,0.008367081533552678,0.0796463761035004,1.0
0.125,gov_report,26,H2,snapkv,4,0.9999917518037513,0.004064931761728171,0.02191012383758862,1.0
0.125,gov_report,26,H2,v_ridge,4,0.9999651449591083,0.00878793257507157,0.08488224390779453,1.0
0.125,gov_report,26,H3,aor,4,0.9999962921865252,0.002807785631593933,0.009103889259427855,1.0
0.125,gov_report,26,H3,aov,4,0.9999964082268102,0.0027539214685270005,0.009131134936267328,1.0
0.125,gov_report,26,H3,attention_only,4,0.9999930691993597,0.0038798668224106015,0.01606162681302367,1.0
0.125,gov_report,26,H3,fresh_core,4,0.9999670589845528,0.00850115355464532,0.08443558975690371,1.0
0.125,gov_report,26,H3,old_stale_core,4,0.9999729289439783,0.007635406227127885,0.06284522824171226,1.0
