method,layer,evaluation_units,mean_projected_relative_error,median_projected_relative_error,p95_projected_relative_error,maximum_projected_relative_error,mean_deleted_attention_mass,mean_relative_error_reduction,win_rate_vs_baseline
contribution_mean_plus_std_w4,27,64,0.07014360875080985,0.046739376350575124,0.1930455498188346,0.31149484216551493,0.17314325025470503,0.04743099261431728,0.59375
contribution_mean_plus_std_w8,-1,192,0.07128907464391904,0.05144086111959409,0.18683279184119772,0.7528547381909052,0.12351218659230438,0.026522505147582236,0.65625
contribution_mean_plus_std_w8,0,64,0.0582452909415542,0.05271171425464222,0.16110028428008047,0.18156289914255705,0.1545776772517885,0.007363304539625195,0.9375
contribution_mean_plus_std_w8,14,64,0.0835629540959852,0.051295307222558637,0.22292832979201077,0.7528547381909052,0.039676618385321806,0.026688588432212085,0.390625
contribution_mean_plus_std_w8,27,64,0.07205897889421771,0.0450896278419841,0.19887277404957393,0.3237212351538334,0.17628226413980283,0.04551562247090942,0.640625
contribution_mean_w1,-1,192,0.0881001454359696,0.05420799992327746,0.27006715919821894,0.8154752507700755,0.1273851292551159,0.009711434355531673,0.6770833333333334
contribution_mean_w1,0,64,0.056809066028538094,0.05128829657344568,0.15468117937741968,0.17470641626692163,0.13985370862007493,0.008799529452641303,0.9375
contribution_mean_w1,14,64,0.10966077964354365,0.04551288810622396,0.4123046348631963,0.8154752507700755,0.05219286090603363,0.0005907628846536416,0.390625
contribution_mean_w1,27,64,0.09783059063582705,0.07260958508724222,0.3019750592395401,0.45666247188218395,0.1901088182392391,0.019744010729300075,0.703125
contribution_mean_w16,-1,192,0.08523679421223541,0.0500290866014833,0.25555312284537757,0.8277038955839167,0.1271005506783384,0.012574785579265847,0.5833333333333334
contribution_mean_w16,0,64,0.054604686898861665,0.050339484210429594,0.1563447600458245,0.16976261181403726,0.13841929852020157,0.011003908582317739,0.9375
contribution_mean_w16,14,64,0.1259812290189142,0.05246697008297875,0.6872444385703209,0.8277038955839167,0.06205922813812939,-0.015729686490716925,0.296875
contribution_mean_w16,27,64,0.07512446671893042,0.04649158666964963,0.23573564141917605,0.2754081368044674,0.18082312537668416,0.04245013464619672,0.515625
contribution_mean_w4,-1,192,0.07091995797659623,0.04919550353499649,0.18602459177945652,0.7440313294132642,0.11657058380795371,0.026891621814905047,0.7083333333333334
contribution_mean_w4,0,64,0.05526734910313027,0.04973759088643491,0.15183014675531054,0.16636095290737024,0.13924063465327616,0.010341246378049132,0.984375
contribution_mean_w4,14,64,0.08823277460614076,0.04983953844009628,0.3378161003612815,0.7440313294132642,0.04169338376968808,0.022018767922056523,0.453125
contribution_mean_w4,27,64,0.06925975022051767,0.04561215485123153,0.19044280381408193,0.3317555430742667,0.16877773300089693,0.04831485114460948,0.6875
contribution_mean_w8,-1,192,0.07151115770489722,0.049928525780317215,0.19934308416745378,0.747661558771814,0.11850617729173907,0.026300422086604058,0.6666666666666666
contribution_mean_w8,0,64,0.05536742631941095,0.05052383073120755,0.1577541068367937,0.17818310818393135,0.14200247214137857,0.010241169161768444,0.9375
contribution_mean_w8,14,64,0.08670470896448498,0.04969460454714568,0.26152994258436185,0.747661558771814,0.041079036646659364,0.023546833563712285,0.421875
contribution_mean_w8,27,64,0.07246133783079568,0.0494399616098043,0.2118291202654728,0.3254393280999581,0.17243702308717926,0.04511326353433144,0.640625
contribution_q75_w1,-1,192,0.0881001454359696,0.05420799992327746,0.27006715919821894,0.8154752507700755,0.1273851292551159,0.009711434355531673,0.6770833333333334
contribution_q75_w1,0,64,0.056809066028538094,0.05128829657344568,0.15468117937741968,0.17470641626692163,0.13985370862007493,0.008799529452641303,0.9375
contribution_q75_w1,14,64,0.10966077964354365,0.04551288810622396,0.4123046348631963,0.8154752507700755,0.05219286090603363,0.0005907628846536416,0.390625
contribution_q75_w1,27,64,0.09783059063582705,0.07260958508724222,0.3019750592395401,0.45666247188218395,0.1901088182392391,0.019744010729300075,0.703125
contribution_q75_w16,-1,192,0.1014565232300245,0.054659045137787715,0.3082396566123083,0.9184421734931608,0.1336357711354805,-0.003644943438523226,0.5885416666666666
contribution_q75_w16,0,64,0.05483798784526094,0.04995787806230184,0.15390677738483682,0.17970717846072248,0.14450012207083646,0.01077060763591846,0.9375
contribution_q75_w16,14,64,0.17390901355403454,0.07997634491059358,0.7546051396894989,0.9184421734931608,0.07357149437918578,-0.06365747102583723,0.296875
contribution_q75_w16,27,64,0.07562256829077804,0.049331687420612,0.23547718848963772,0.2796079369547617,0.18283569695641927,0.041952033074349096,0.53125
contribution_q75_w4,-1,192,0.07038781864542813,0.05013564134348837,0.17972322419851483,0.7446884504828396,0.11725287258423607,0.02742376114607313,0.703125
contribution_q75_w4,0,64,0.055932947101065646,0.05083984416147659,0.1511103917882811,0.16605254073337383,0.14004359753344886,0.009675648380113751,0.984375
contribution_q75_w4,14,64,0.08755492093332748,0.05014947767170584,0.32463804771525123,0.7446884504828396,0.04150879732881114,0.022696621594869792,0.453125
contribution_q75_w4,27,64,0.06767558790189128,0.04689295390305867,0.1777852549386374,0.30866047742629504,0.17020622289044823,0.04989901346323586,0.671875
contribution_q75_w8,-1,192,0.071304931643746,0.049931879058126814,0.19479821618392,0.7484480590847757,0.11861216290865784,0.026506648147755264,0.6666666666666666
contribution_q75_w8,0,64,0.055814457504368656,0.05051363075515383,0.15792638608639378,0.1828838298053628,0.1427167857195329,0.009794137976810741,0.9375
contribution_q75_w8,14,64,0.08812659499443878,0.050181505200297905,0.2585973388359663,0.7484480590847757,0.04112451209234114,0.0221249475337585,0.421875
contribution_q75_w8,27,64,0.06997374243243057,0.0459858736655135,0.20126469348033116,0.3080054557484788,0.17199519091409943,0.047600858932696555,0.640625
random,-1,192,0.3575309405580435,0.20354101979996686,0.9475963640185501,1.030099068278318,0.38850655432326936,-0.2597193607665423,0.020833333333333332
random,0,64,0.08641775204762583,0.08639296964172061,0.15904646047503757,0.18538416528922905,0.24056294339414352,-0.02080915656644644,0.046875
random,14,64,0.7345393470331121,0.7441299483757653,0.9776956359709866,1.030099068278318,0.3615645554734058,-0.6242878045049147,0.015625
random,27,64,0.25163572259339273,0.20354101979996686,0.48824796724627173,0.6053271548269894,0.5633921641022587,-0.13406112122826558,0.0
value_norm,-1,192,0.3782083872236863,0.2385221840514176,0.9566140261524376,1.1100411060043582,0.3990478515051217,-0.28039680743218515,0.052083333333333336
value_norm,0,64,0.09043074086660931,0.08722769578095585,0.22960960526086555,0.24713471130161901,0.24722094504875547,-0.024822145385429907,0.09375
value_norm,14,64,0.8025907496271504,0.8325304400186606,0.9857151192672444,1.1100411060043582,0.3826898478690158,-0.6923392070989531,0.0
value_norm,27,64,0.24160367117729942,0.19458023230208937,0.4591320500508843,0.5137411267200531,0.5672327615975938,-0.12402906981217228,0.0625
