method,layer,evaluation_units,mean_projected_relative_error,median_projected_relative_error,p95_projected_relative_error,maximum_projected_relative_error,mean_deleted_attention_mass,mean_relative_error_reduction,win_rate_vs_baseline
contribution_max_w1,27,32,0.10471047356591578,0.05873034424375286,0.3053904759770468,0.4530891250937298,0.21305586237800989,0.02246526906901275,0.78125
contribution_max_w16,-1,96,0.1342053935374321,0.0583020638296449,0.6858724164833192,0.8757301089471711,0.16953959840718777,-0.029009585977988212,0.3958333333333333
contribution_max_w16,0,32,0.061965932605654084,0.0583020638296449,0.12796725461833022,0.18471325977686173,0.14860604424097745,0.00026270102683257604,0.625
contribution_max_w16,14,32,0.25190139912622145,0.09349569663504288,0.8592730471222247,0.8757301089471711,0.12357679417054772,-0.12571835271530496,0.15625
contribution_max_w16,27,32,0.08874884888042076,0.05110913104097978,0.21217490657947327,0.2502713816179106,0.2364359568100381,0.03842689375450777,0.40625
contribution_max_w4,-1,96,0.11015575737632734,0.05122583600489414,0.315950013726633,0.8632243763489188,0.151009684960174,-0.004959949816883447,0.5104166666666666
contribution_max_w4,0,32,0.05838733860965983,0.051890148285360996,0.12595101859927943,0.17293467322322628,0.14546027011423207,0.0038412950228268235,0.6875
contribution_max_w4,14,32,0.18798391693492333,0.0822776658862729,0.7598264880753423,0.8632243763489188,0.09346645714357696,-0.06180087052400683,0.25
contribution_max_w4,27,32,0.08409601658439886,0.044286555579628864,0.22157361390719024,0.2865618060089828,0.21410232762271303,0.04307972605052966,0.59375
contribution_max_w8,-1,96,0.13349498205047897,0.05440793336728429,0.6910966216082808,0.9035048515281562,0.16736307135748577,-0.02829917449103508,0.4270833333333333
contribution_max_w8,0,32,0.06090631125650972,0.055737572699045355,0.12862862588876842,0.1786179346216368,0.15158885222588464,0.0013223223759769279,0.625
contribution_max_w8,14,32,0.2545832066844578,0.1321072040503278,0.8440646235198382,0.9035048515281562,0.13032801024394897,-0.1284001602735413,0.15625
contribution_max_w8,27,32,0.0849954282104694,0.0448063781841956,0.23047354126678843,0.3020034200680979,0.22017235160262366,0.042180314424459124,0.5
contribution_mean_plus_std_w1,-1,96,0.0957257139053123,0.05355650090237161,0.2609625011920967,0.8480655383997399,0.14225254659640177,0.009470093654131565,0.71875
contribution_mean_plus_std_w1,0,32,0.05929823454327417,0.05320391213293599,0.12765966008851723,0.1783226251158184,0.1503533951635626,0.0029303990892124827,0.78125
contribution_mean_plus_std_w1,14,32,0.12316843360674702,0.07849139180763064,0.3149404255881318,0.8480655383997399,0.06334838224763283,0.0030146128041694652,0.59375
contribution_mean_plus_std_w1,27,32,0.10471047356591578,0.05873034424375286,0.3053904759770468,0.4530891250937298,0.21305586237800989,0.02246526906901275,0.78125
contribution_mean_plus_std_w16,-1,96,0.1267403870430877,0.05308589239549674,0.6777789914192368,0.8903556762372435,0.15955805712173163,-0.021544579483643828,0.4895833333333333
