task,method,width,refresh_interval,decision_units,median_spearman,mean_pairwise_accuracy,mean_top1_accuracy,mean_normalized_regret,median_spearman_gain,mean_pairwise_accuracy_gain,mean_top1_accuracy_gain,mean_normalized_regret_gain
niah_single_1,fisher_gaussian_vjp_action,4,4,14,0.630952380952381,0.6989795918367346,0.21428571428571427,0.3963114746873179,0.023809523809523725,0.022959183673469368,-0.07142857142857142,-0.042802734963520654
niah_single_1,fisher_gaussian_vjp_action,4,8,14,0.6904761904761906,0.7040816326530613,0.21428571428571427,0.42691209030306376,0.07142857142857145,0.028061224489795897,-0.07142857142857142,-0.07340335057926639
niah_single_1,fisher_gaussian_vjp_action,8,1,14,0.5714285714285715,0.6556122448979593,0.5,0.22527125170123896,-0.0357142857142857,-0.020408163265306138,0.21428571428571427,0.12823748802255833
niah_single_1,fisher_gaussian_vjp_action,8,2,14,0.523809523809524,0.6556122448979593,0.21428571428571427,0.3966016624095894,-0.07142857142857151,-0.020408163265306145,-0.07142857142857142,-0.04309292268579207
niah_single_1,fisher_gaussian_vjp_action,8,4,14,0.5833333333333334,0.6964285714285713,0.21428571428571427,0.3963114746873179,0.023809523809523836,0.020408163265306097,-0.07142857142857142,-0.042802734963520654
niah_single_1,fisher_gaussian_vjp_action,8,8,14,0.6666666666666667,0.7040816326530612,0.21428571428571427,0.42684674186664295,0.0357142857142857,0.02806122448979589,-0.07142857142857142,-0.07333800214284561
niah_single_1,fisher_gaussian_vjp_action,16,1,14,0.5833333333333335,0.6760204081632654,0.5,0.21894972086949813,-0.02380952380952378,-1.586032892321652e-17,0.21428571428571427,0.13455901885429916
niah_single_1,fisher_gaussian_vjp_action,16,2,14,0.5238095238095238,0.6556122448979592,0.21428571428571427,0.3966016624095894,-0.04761904761904767,-0.020408163265306138,-0.07142857142857142,-0.04309292268579207
niah_single_1,fisher_gaussian_vjp_action,16,4,14,0.6190476190476191,0.7040816326530611,0.21428571428571427,0.3963114746873179,0.0357142857142857,0.028061224489795897,-0.07142857142857142,-0.042802734963520654
niah_single_1,fisher_gaussian_vjp_action,16,8,14,0.6190476190476191,0.7040816326530612,0.21428571428571427,0.42684674186664295,0.03571428571428564,0.028061224489795897,-0.07142857142857142,-0.07333800214284561
niah_single_1,fisher_gaussian_vjp_innovation_state,4,1,14,0.5595238095238095,0.6683673469387755,0.2857142857142857,0.3011149983425994,-0.04761904761904766,-0.007653061224489812,0.0,0.05239374138119785
niah_single_1,fisher_gaussian_vjp_innovation_state,4,2,14,0.5357142857142858,0.6530612244897958,0.2857142857142857,0.33975342857603535,-0.09523809523809529,-0.022959183673469392,0.0,0.013755311147761958
niah_single_1,fisher_gaussian_vjp_innovation_state,4,4,14,0.6190476190476192,0.6989795918367346,0.2857142857142857,0.32757178007471766,0.04761904761904753,0.02295918367346938,0.0,0.025936959649079664
niah_single_1,fisher_gaussian_vjp_innovation_state,4,8,14,0.6309523809523809,0.7142857142857143,0.35714285714285715,0.3496280637612787,0.03571428571428564,0.03826530612244895,0.07142857142857142,0.0038806759625185272
niah_single_1,fisher_gaussian_vjp_innovation_state,8,1,14,0.6428571428571429,0.6709183673469389,0.42857142857142855,0.19221078280308362,-0.02380952380952389,-0.005102040816326544,0.14285714285714285,0.16129795692071364
niah_single_1,fisher_gaussian_vjp_innovation_state,8,2,14,0.5476190476190477,0.6530612244897959,0.21428571428571427,0.40035018291261687,-0.07142857142857142,-0.022959183673469403,-0.07142857142857142,-0.04684144318881949
niah_single_1,fisher_gaussian_vjp_innovation_state,8,4,14,0.6428571428571429,0.7091836734693876,0.2857142857142857,0.3661892977620359,0.08333333333333334,0.03316326530612242,0.0,-0.012680558038238646
niah_single_1,fisher_gaussian_vjp_innovation_state,8,8,14,0.5833333333333334,0.6887755102040815,0.2857142857142857,0.42578740792662984,0.02380952380952378,0.012755102040816289,0.0,-0.07227866820283249
niah_single_1,fisher_gaussian_vjp_innovation_state,16,1,14,0.6190476190476191,0.6658163265306122,0.42857142857142855,0.18588925197134282,-0.011904761904761918,-0.010204081632653076,0.14285714285714285,0.16761948775245447
niah_single_1,fisher_gaussian_vjp_innovation_state,16,2,14,0.5714285714285715,0.6607142857142857,0.2857142857142857,0.3216372496823942,-0.05952380952380959,-0.015306122448979609,0.0,0.03187149004140313
niah_single_1,fisher_gaussian_vjp_innovation_state,16,4,14,0.6428571428571429,0.711734693877551,0.35714285714285715,0.28747636453181336,0.023809523809523774,0.0357142857142857,0.07142857142857142,0.06603237519198397
niah_single_1,fisher_gaussian_vjp_innovation_state,16,8,14,0.6190476190476191,0.7142857142857143,0.42857142857142855,0.3154018301742771,0.011904761904761862,0.03826530612244896,0.14285714285714285,0.03810690954952015
niah_single_1,fisher_gaussian_vjp_repeated_state,4,1,14,0.523809523809524,0.6811224489795918,0.35714285714285715,0.23209508008960997,-0.08333333333333348,0.005102040816326513,0.07142857142857142,0.1214136596341873
niah_single_1,fisher_gaussian_vjp_repeated_state,4,2,14,0.46428571428571436,0.6428571428571427,0.2857142857142857,0.28478656425536275,-0.03571428571428581,-0.033163265306122465,0.0,0.06872217546843451
niah_single_1,fisher_gaussian_vjp_repeated_state,4,4,14,0.5952380952380953,0.6938775510204083,0.2857142857142857,0.29103775018140693,0.047619047619047644,0.017857142857142846,0.0,0.06247098954239039
niah_single_1,fisher_gaussian_vjp_repeated_state,4,8,14,0.4047619047619048,0.6326530612244898,0.07142857142857142,0.5103139808500192,-0.07142857142857142,-0.04336734693877554,-0.21428571428571427,-0.156805241126222
niah_single_1,fisher_gaussian_vjp_repeated_state,8,1,14,0.5952380952380953,0.6887755102040817,0.35714285714285715,0.2379155893541996,-0.011904761904761918,0.0127551020408163,0.07142857142857142,0.11559315036959769
niah_single_1,fisher_gaussian_vjp_repeated_state,8,2,14,0.5833333333333335,0.6658163265306122,0.21428571428571427,0.4003122790906452,-0.011904761904761973,-0.010204081632653088,-0.07142857142857142,-0.04680353936684788
niah_single_1,fisher_gaussian_vjp_repeated_state,8,4,14,0.6428571428571429,0.6887755102040816,0.2857142857142857,0.39667899239546117,0.04761904761904756,0.012755102040816297,0.0,-0.04317025267166389
niah_single_1,fisher_gaussian_vjp_repeated_state,8,8,14,0.4047619047619048,0.6352040816326529,0.07142857142857142,0.5393343525449271,-0.1190476190476191,-0.04081632653061227,-0.21428571428571427,-0.18582561282112983
niah_single_1,fisher_gaussian_vjp_repeated_state,16,1,14,0.5714285714285715,0.6811224489795918,0.35714285714285715,0.22708639353563242,-0.02380952380952389,0.005102040816326516,0.07142857142857142,0.12642234618816484
niah_single_1,fisher_gaussian_vjp_repeated_state,16,2,14,0.5952380952380953,0.6581632653061223,0.2857142857142857,0.26713047595893,-0.011904761904761973,-0.01785714285714288,0.0,0.08637826376486725
niah_single_1,fisher_gaussian_vjp_repeated_state,16,4,14,0.6428571428571429,0.6836734693877551,0.2857142857142857,0.3087099147249158,0.04761904761904756,0.007653061224489769,0.0,0.04479882499888144
