sample_id,task,anchor,horizon_offset,attention_mean_w1_shared,protected_attention_rescue_m8_shared,baseline_tail,primary_tail,exact_kl_reduction,tail_category,large_loss_transition
synthetic_niah_18,niah_single_1,48,8,7.436866144416854e-05,2.728075378399808e-05,False,False,4.708790766017046e-05,non_tail,unchanged
synthetic_niah_19,niah_single_1,16,9,0.0017603582236915827,0.0017119621625170112,False,False,4.8396061174571514e-05,non_tail,unchanged
synthetic_niah_20,niah_single_1,32,13,0.0003224787360522896,0.00027062391745857894,False,False,5.185481859371066e-05,non_tail,unchanged
synthetic_niah_18,niah_single_1,16,11,0.00016442537889815867,0.00010980447405017912,False,False,5.4620904847979546e-05,non_tail,unchanged
synthetic_niah_18,niah_single_1,32,14,0.000349402311258018,0.00026686571072787046,False,False,8.253660053014755e-05,non_tail,unchanged
synthetic_niah_20,niah_single_1,32,12,0.0002152190136257559,0.00012647199037019163,False,False,8.874702325556427e-05,non_tail,unchanged
synthetic_niah_20,niah_single_1,32,14,0.0009068126673810184,0.0008099532569758594,False,False,9.6859410405159e-05,non_tail,unchanged
synthetic_niah_19,niah_single_1,16,13,0.009780783206224442,0.009665318764746189,False,False,0.00011546444147825241,non_tail,unchanged
synthetic_niah_20,niah_single_1,48,6,0.001210455666296184,0.0010636174120008945,False,False,0.00014683825429528952,non_tail,unchanged
gov_report:18,gov_report,32,8,0.025829285383224487,0.025672536343336105,False,False,0.00015674903988838196,non_tail,unchanged
synthetic_niah_20,niah_single_1,48,10,0.007109660189598799,0.006946812383830547,False,False,0.00016284780576825142,non_tail,unchanged
synthetic_niah_19,niah_single_1,16,11,0.0010986822890117764,0.0008747706888243556,False,False,0.00022391160018742085,non_tail,unchanged
synthetic_niah_19,niah_single_1,32,14,0.0011815008474513888,0.0009349470492452383,False,False,0.00024655379820615053,non_tail,unchanged
gov_report:20,gov_report,16,3,0.0017929715104401112,0.0015400664415210485,False,False,0.0002529050689190626,non_tail,unchanged
gov_report:19,gov_report,32,1,0.012904278002679348,0.012578525580465794,False,False,0.0003257524222135544,non_tail,unchanged
synthetic_niah_18,niah_single_1,48,3,0.0009637243929319084,0.0006352238124236465,False,False,0.0003285005805082619,non_tail,unchanged
synthetic_niah_20,niah_single_1,48,9,0.0088829779997468,0.008529143407940865,False,False,0.0003538345918059349,non_tail,unchanged
gov_report:20,gov_report,48,15,0.0027973754331469536,0.002434225520119071,False,False,0.0003631499130278826,non_tail,unchanged
synthetic_niah_19,niah_single_1,16,12,0.013491610996425152,0.01306705828756094,False,False,0.00042455270886421204,non_tail,unchanged
gov_report:19,gov_report,32,15,0.001579974195919931,0.0011355314636602998,False,False,0.00044444273225963116,non_tail,unchanged
synthetic_niah_18,niah_single_1,16,9,0.0021649980917572975,0.001715821330435574,False,False,0.00044917676132172346,non_tail,unchanged
synthetic_niah_19,niah_single_1,16,14,0.007443208713084459,0.006892762612551451,False,False,0.0005504461005330086,non_tail,unchanged
synthetic_niah_20,niah_single_1,48,7,0.0017724897479638457,0.0011658117873594165,False,False,0.0006066779606044292,non_tail,unchanged
