comparison,split,task,projection_dimension,projection_seed,decay,decision_units,sequences,median_spearman_gain,mean_pairwise_accuracy_gain,mean_top1_accuracy_gain,mean_normalized_regret_gain
recursive_vs_action,replication,niah_single_1,32,42,0.95,372,4,-0.04260869565217393,-0.025800607760635804,-0.026881720430107527,-0.012828685736066126
recursive_vs_action,replication,niah_single_1,32,42,1.0,372,4,-0.04915163446105851,-0.030777621941717317,-0.02956989247311828,-0.019446153842533866
recursive_vs_action,replication,niah_single_1,64,42,0.5,372,4,-0.013043478260869518,-0.0075093501636278644,-0.002688172043010753,-0.0042034623993057125
recursive_vs_action,replication,niah_single_1,64,42,0.8,372,4,-0.013043478260869601,-0.011181237338320089,-0.016129032258064516,-0.0067163158146694235
recursive_vs_action,replication,niah_single_1,64,42,0.95,372,4,-0.02349103496045126,-0.019021739130434777,-0.01881720430107527,-0.0033798419632404433
recursive_vs_action,replication,niah_single_1,64,42,1.0,372,4,-0.03304707111491449,-0.023862396758609943,-0.013440860215053764,-0.0009841638082185896
recursive_vs_action,replication,niah_single_1,128,42,0.5,372,4,-0.00826427665639673,-0.007236637057815175,-0.005376344086021506,-0.003673271666747386
recursive_vs_action,replication,niah_single_1,128,42,0.8,372,4,-0.012173913043478247,-0.009389122642979584,-0.024193548387096774,-0.006863193586526213
recursive_vs_action,replication,niah_single_1,128,42,0.95,372,4,-0.0230434782608695,-0.016275128564749882,-0.021505376344086023,-0.006258462272386447
recursive_vs_action,replication,niah_single_1,128,42,1.0,372,4,-0.02521739130434781,-0.021261882499610408,-0.024193548387096774,-0.012522139807428345
reference_state_vs_action,calibration,all,16,42,0.5,744,8,-0.09826086956521737,-0.05668049711703288,-0.04838709677419355,-0.1250707382949518
reference_state_vs_action,calibration,all,16,42,0.8,744,8,-0.09826086956521737,-0.05668049711703288,-0.04838709677419355,-0.1250707382949518
reference_state_vs_action,calibration,all,16,42,0.95,744,8,-0.09826086956521737,-0.05668049711703288,-0.04838709677419355,-0.1250707382949518
reference_state_vs_action,calibration,all,16,42,1.0,744,8,-0.09826086956521737,-0.05668049711703288,-0.04838709677419355,-0.1250707382949518
reference_state_vs_action,calibration,all,32,42,0.5,744,8,-0.0937610326626523,-0.05791744584696898,-0.030913978494623656,-0.12665199850424777
reference_state_vs_action,calibration,all,32,42,0.8,744,8,-0.0937610326626523,-0.05791744584696898,-0.030913978494623656,-0.12665199850424777
reference_state_vs_action,calibration,all,32,42,0.95,744,8,-0.0937610326626523,-0.05791744584696898,-0.030913978494623656,-0.12665199850424777
reference_state_vs_action,calibration,all,32,42,1.0,744,8,-0.0937610326626523,-0.05791744584696898,-0.030913978494623656,-0.12665199850424777
reference_state_vs_action,calibration,all,64,42,0.5,744,8,-0.05153237586938366,-0.036855228299828575,-0.03494623655913978,-0.10311826298216328
reference_state_vs_action,calibration,all,64,42,0.8,744,8,-0.05153237586938366,-0.036855228299828575,-0.03494623655913978,-0.10311826298216328
reference_state_vs_action,calibration,all,64,42,0.95,744,8,-0.05153237586938366,-0.036855228299828575,-0.03494623655913978,-0.10311826298216328
reference_state_vs_action,calibration,all,64,42,1.0,744,8,-0.05153237586938366,-0.036855228299828575,-0.03494623655913978,-0.10311826298216328
reference_state_vs_action,calibration,all,128,42,0.5,744,8,-0.03718993906349458,-0.024461391616019946,-0.03225806451612903,-0.07883043579293109
reference_state_vs_action,calibration,all,128,42,0.8,744,8,-0.03718993906349458,-0.024461391616019946,-0.03225806451612903,-0.07883043579293109
reference_state_vs_action,calibration,all,128,42,0.95,744,8,-0.03718993906349458,-0.024461391616019946,-0.03225806451612903,-0.07883043579293109
reference_state_vs_action,calibration,all,128,42,1.0,744,8,-0.03718993906349458,-0.024461391616019946,-0.03225806451612903,-0.07883043579293109
reference_state_vs_action,calibration,gov_report,16,42,0.5,372,4,-0.12217391304347827,-0.04806568489948574,-0.051075268817204304,-0.13503236275584402
reference_state_vs_action,calibration,gov_report,16,42,0.8,372,4,-0.12217391304347827,-0.04806568489948574,-0.051075268817204304,-0.13503236275584402
reference_state_vs_action,calibration,gov_report,16,42,0.95,372,4,-0.12217391304347827,-0.04806568489948574,-0.051075268817204304,-0.13503236275584402
reference_state_vs_action,calibration,gov_report,16,42,1.0,372,4,-0.12217391304347827,-0.04806568489948574,-0.051075268817204304,-0.13503236275584402
reference_state_vs_action,calibration,gov_report,32,42,0.5,372,4,-0.12150845502534749,-0.054172510518934076,-0.04838709677419355,-0.15029927377106486
reference_state_vs_action,calibration,gov_report,32,42,0.8,372,4,-0.12150845502534749,-0.054172510518934076,-0.04838709677419355,-0.15029927377106486
reference_state_vs_action,calibration,gov_report,32,42,0.95,372,4,-0.12150845502534749,-0.054172510518934076,-0.04838709677419355,-0.15029927377106486
reference_state_vs_action,calibration,gov_report,32,42,1.0,372,4,-0.12150845502534749,-0.054172510518934076,-0.04838709677419355,-0.15029927377106486
reference_state_vs_action,calibration,gov_report,64,42,0.5,372,4,-0.07260869565217393,-0.04285491662770765,-0.04032258064516129,-0.12783246331116122
reference_state_vs_action,calibration,gov_report,64,42,0.8,372,4,-0.07260869565217393,-0.04285491662770765,-0.04032258064516129,-0.12783246331116122
reference_state_vs_action,calibration,gov_report,64,42,0.95,372,4,-0.07260869565217393,-0.04285491662770765,-0.04032258064516129,-0.12783246331116122
reference_state_vs_action,calibration,gov_report,64,42,1.0,372,4,-0.07260869565217393,-0.04285491662770765,-0.04032258064516129,-0.12783246331116122
reference_state_vs_action,calibration,gov_report,128,42,0.5,372,4,-0.07695652173913034,-0.03769284712482468,-0.03763440860215054,-0.09832407206071551
reference_state_vs_action,calibration,gov_report,128,42,0.8,372,4,-0.07695652173913034,-0.03769284712482468,-0.03763440860215054,-0.09832407206071551
reference_state_vs_action,calibration,gov_report,128,42,0.95,372,4,-0.07695652173913034,-0.03769284712482468,-0.03763440860215054,-0.09832407206071551
reference_state_vs_action,calibration,gov_report,128,42,1.0,372,4,-0.07695652173913034,-0.03769284712482468,-0.03763440860215054,-0.09832407206071551
reference_state_vs_action,calibration,niah_single_1,16,42,0.5,372,4,-0.08244193522522276,-0.06529530933458001,-0.0456989247311828,-0.11510911383405958
reference_state_vs_action,calibration,niah_single_1,16,42,0.8,372,4,-0.08244193522522276,-0.06529530933458001,-0.0456989247311828,-0.11510911383405958
reference_state_vs_action,calibration,niah_single_1,16,42,0.95,372,4,-0.08244193522522276,-0.06529530933458001,-0.0456989247311828,-0.11510911383405958
reference_state_vs_action,calibration,niah_single_1,16,42,1.0,372,4,-0.08244193522522276,-0.06529530933458001,-0.0456989247311828,-0.11510911383405958
reference_state_vs_action,calibration,niah_single_1,32,42,0.5,372,4,-0.08504306697414415,-0.0616623811750039,-0.013440860215053764,-0.10300472323743068
reference_state_vs_action,calibration,niah_single_1,32,42,0.8,372,4,-0.08504306697414415,-0.0616623811750039,-0.013440860215053764,-0.10300472323743068
reference_state_vs_action,calibration,niah_single_1,32,42,0.95,372,4,-0.08504306697414415,-0.0616623811750039,-0.013440860215053764,-0.10300472323743068
reference_state_vs_action,calibration,niah_single_1,32,42,1.0,372,4,-0.08504306697414415,-0.0616623811750039,-0.013440860215053764,-0.10300472323743068
reference_state_vs_action,calibration,niah_single_1,64,42,0.5,372,4,-0.031136452813647908,-0.030855539971949508,-0.02956989247311828,-0.07840406265316534
reference_state_vs_action,calibration,niah_single_1,64,42,0.8,372,4,-0.031136452813647908,-0.030855539971949508,-0.02956989247311828,-0.07840406265316534
reference_state_vs_action,calibration,niah_single_1,64,42,0.95,372,4,-0.031136452813647908,-0.030855539971949508,-0.02956989247311828,-0.07840406265316534
reference_state_vs_action,calibration,niah_single_1,64,42,1.0,372,4,-0.031136452813647908,-0.030855539971949508,-0.02956989247311828,-0.07840406265316534
reference_state_vs_action,calibration,niah_single_1,128,42,0.5,372,4,-0.01972689582332743,-0.011229936107215207,-0.026881720430107527,-0.059336799525146644
reference_state_vs_action,calibration,niah_single_1,128,42,0.8,372,4,-0.01972689582332743,-0.011229936107215207,-0.026881720430107527,-0.059336799525146644
reference_state_vs_action,calibration,niah_single_1,128,42,0.95,372,4,-0.01972689582332743,-0.011229936107215207,-0.026881720430107527,-0.059336799525146644
reference_state_vs_action,calibration,niah_single_1,128,42,1.0,372,4,-0.01972689582332743,-0.011229936107215207,-0.026881720430107527,-0.059336799525146644
reference_state_vs_action,evaluation,all,16,42,0.5,744,8,-0.12521739130434778,-0.06825132460651394,-0.051075268817204304,-0.11353559714005937
