name,family,specification,auroc,auprc,order,feature_count,harmful_recall,refresh_coverage,missed_normalized_regret,missed_event_count,harmful_event_count,task_recall
token_age_std_lt_405.17157,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_std"", ""threshold"": 405.17156859779783}",0.4115144639818491,0.4333694456699145,0,1,0.2926829268292683,0.39285714285714285,0.4760747039353965,29,41,"{""gov_report"": 0.6666666666666666, ""niah_single_1"": 0.0}"
token_age_std_lt_408.62942,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_std"", ""threshold"": 408.62941646435587}",0.4115144639818491,0.4333694456699145,0,1,0.34146341463414637,0.42857142857142855,0.44987751965703004,27,41,"{""gov_report"": 0.7777777777777778, ""niah_single_1"": 0.0}"
token_age_std_lt_474.35572,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_std"", ""threshold"": 474.35572006709884}",0.4115144639818491,0.4333694456699145,0,1,0.43902439024390244,0.5,0.38736335417755957,23,41,"{""gov_report"": 1.0, ""niah_single_1"": 0.0}"
token_age_std_lt_533.59857,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_std"", ""threshold"": 533.5985733676581}",0.4115144639818491,0.4333694456699145,0,1,0.43902439024390244,0.5357142857142857,0.38736335417755957,23,41,"{""gov_report"": 1.0, ""niah_single_1"": 0.0}"
token_age_std_lt_534.03113,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_std"", ""threshold"": 534.0311320513065}",0.4115144639818491,0.4333694456699145,0,1,0.5121951219512195,0.5714285714285714,0.3498985687600138,20,41,"{""gov_report"": 1.0, ""niah_single_1"": 0.13043478260869565}"
token_age_std_lt_534.44206,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_std"", ""threshold"": 534.442063499297}",0.4115144639818491,0.4333694456699145,0,1,0.5609756097560976,0.6428571428571429,0.316496975818312,18,41,"{""gov_report"": 1.0, ""niah_single_1"": 0.21739130434782608}"
token_age_std_lt_534.89625,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_std"", ""threshold"": 534.8962516226861}",0.4115144639818491,0.4333694456699145,0,1,0.6341463414634146,0.6785714285714286,0.287593470491033,15,41,"{""gov_report"": 1.0, ""niah_single_1"": 0.34782608695652173}"
token_age_std_lt_535.11253,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_std"", ""threshold"": 535.1125322472594}",0.4115144639818491,0.4333694456699145,0,1,0.7073170731707317,0.75,0.24166734152790448,12,41,"{""gov_report"": 1.0, ""niah_single_1"": 0.4782608695652174}"
token_age_std_lt_536.6265,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_std"", ""threshold"": 536.6264995320302}",0.4115144639818491,0.4333694456699145,0,1,0.7560975609756098,0.7857142857142857,0.20478122911403265,10,41,"{""gov_report"": 1.0, ""niah_single_1"": 0.5652173913043478}"
token_age_std_lt_537.49163,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_std"", ""threshold"": 537.491627841774}",0.4115144639818491,0.4333694456699145,0,1,0.8048780487804879,0.8214285714285714,0.15610095726364293,8,41,"{""gov_report"": 1.0, ""niah_single_1"": 0.6521739130434783}"
