scope_type,scope_value,score_type,spearman,pairwise_sign_accuracy,top1_accuracy,topk_overlap,normalized_regret,symmetric_scale_ratio,spearman_delta_vs_action,spearman_delta_vs_p1,spearman_gap_from_full,pairwise_gain_vs_action,top1_gain_vs_action,normalized_regret_gain_vs_action,normalized_regret_degradation_vs_full
sequence,synthetic_niah_84,nonlinear_direction_quadratic,1.0,1.0,1.0,1.0,0.0,0.20592037529641755,0.23809523809523792,0.07142857142857129,0.0,0.1964285714285714,1.0,0.024382848213758804,0.0
sequence,synthetic_niah_84,p1_reference_state_fisher,0.9285714285714287,0.9285714285714286,1.0,1.0,0.0,0.19494887124302385,0.16666666666666663,0.0,0.07142857142857129,0.125,1.0,0.024382848213758804,0.0
sequence,synthetic_niah_84,reference_action_fisher,0.7619047619047621,0.8035714285714286,0.0,0.5,0.024382848213758804,0.042442828304494175,0.0,-0.16666666666666663,0.23809523809523792,0.0,0.0,0.0,0.024382848213758804
sequence,synthetic_niah_85,fisher_updated_only,0.9047619047619048,0.8928571428571429,1.0,1.0,0.0,0.204903320876933,0.05952380952380942,0.0,0.09523809523809523,0.053571428571428714,1.0,0.027873460667134708,0.0
sequence,synthetic_niah_85,full_state_local,1.0,1.0,1.0,1.0,0.0,0.2044716653316699,0.15476190476190466,0.09523809523809523,0.0,0.1607142857142858,1.0,0.027873460667134708,0.0
sequence,synthetic_niah_85,gradient_fisher_updated,0.9404761904761906,0.9285714285714286,1.0,1.0,0.0,0.18083403315242016,0.09523809523809523,0.03571428571428581,0.05952380952380942,0.08928571428571441,1.0,0.027873460667134708,0.0
sequence,synthetic_niah_85,gradient_jacobian_updated,1.0,1.0,1.0,1.0,0.0,0.20308466828268712,0.15476190476190466,0.09523809523809523,0.0,0.1607142857142858,1.0,0.027873460667134708,0.0
sequence,synthetic_niah_85,gradient_updated_only,0.9404761904761906,0.9285714285714286,1.0,1.0,0.0,0.18648163084191433,0.09523809523809523,0.03571428571428581,0.05952380952380942,0.08928571428571441,1.0,0.027873460667134708,0.0
sequence,synthetic_niah_85,jacobian_fisher_updated,0.9523809523809524,0.9285714285714286,1.0,1.0,0.0,0.20569958479700678,0.1071428571428571,0.04761904761904767,0.04761904761904756,0.08928571428571441,1.0,0.027873460667134708,0.0
sequence,synthetic_niah_85,jacobian_updated_only,0.9404761904761906,0.9285714285714286,1.0,1.0,0.0,0.21375664774866882,0.09523809523809523,0.03571428571428581,0.05952380952380942,0.08928571428571441,1.0,0.027873460667134708,0.0
sequence,synthetic_niah_85,nonlinear_direction_quadratic,1.0,1.0,1.0,1.0,0.0,0.20062145373390788,0.15476190476190466,0.09523809523809523,0.0,0.1607142857142858,1.0,0.027873460667134708,0.0
sequence,synthetic_niah_85,p1_reference_state_fisher,0.9047619047619048,0.8928571428571429,1.0,1.0,0.0,0.20976453838164044,0.05952380952380942,0.0,0.09523809523809523,0.053571428571428714,1.0,0.027873460667134708,0.0
sequence,synthetic_niah_85,reference_action_fisher,0.8452380952380953,0.8392857142857142,0.0,0.5,0.027873460667134708,0.1087072826748102,0.0,-0.05952380952380942,0.15476190476190466,0.0,0.0,0.0,0.027873460667134708
