stratum_type,stratum_json,task,score_type,spearman,pairwise_sign_accuracy,top1_accuracy,topk_overlap,normalized_regret,symmetric_scale_ratio,spearman_delta_vs_action,spearman_delta_vs_p1,spearman_gap_from_full,layer,history_id
task_layer,"{""layer"": ""14"", ""task"": ""gov_report""}",gov_report,reference_action_fisher,0.1785714285714286,0.48214285714285715,0.0,0.0,0.32380560506930967,0.12277651305340745,0.0,0.2023809523809524,0.20238095238095244,14.0,
task_layer,"{""layer"": ""26"", ""task"": ""gov_report""}",gov_report,fisher_updated_only,0.46428571428571436,0.625,0.5,0.25,0.2123795092450043,0.11044004724912826,-0.2619047619047619,-0.32142857142857145,0.5238095238095237,26.0,
task_layer,"{""layer"": ""26"", ""task"": ""gov_report""}",gov_report,full_state_local,0.9880952380952381,0.9821428571428572,1.0,1.0,0.0,0.16666593603253488,0.26190476190476186,0.20238095238095233,0.0,26.0,
task_layer,"{""layer"": ""26"", ""task"": ""gov_report""}",gov_report,gradient_fisher_updated,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.10677128717833526,0.25,0.19047619047619047,0.011904761904761862,26.0,
task_layer,"{""layer"": ""26"", ""task"": ""gov_report""}",gov_report,gradient_jacobian_updated,0.9642857142857144,0.9464285714285714,1.0,1.0,0.0,0.18276825420839,0.23809523809523814,0.1785714285714286,0.023809523809523725,26.0,
task_layer,"{""layer"": ""26"", ""task"": ""gov_report""}",gov_report,gradient_updated_only,0.9642857142857144,0.9464285714285714,1.0,1.0,0.0,0.11865225807010042,0.23809523809523814,0.1785714285714286,0.023809523809523725,26.0,
task_layer,"{""layer"": ""26"", ""task"": ""gov_report""}",gov_report,jacobian_fisher_updated,0.4761904761904763,0.6428571428571428,0.5,0.25,0.2123795092450043,0.1101393591263352,-0.25,-0.30952380952380953,0.5119047619047619,26.0,
task_layer,"{""layer"": ""26"", ""task"": ""gov_report""}",gov_report,jacobian_updated_only,0.7619047619047621,0.8392857142857142,1.0,1.0,0.0,0.06541319045092736,0.03571428571428581,-0.023809523809523725,0.22619047619047605,26.0,
task_layer,"{""layer"": ""26"", ""task"": ""gov_report""}",gov_report,nonlinear_direction_quadratic,1.0,1.0,1.0,1.0,0.0,0.14083851447214754,0.2738095238095237,0.2142857142857142,-0.011904761904761862,26.0,
task_layer,"{""layer"": ""26"", ""task"": ""gov_report""}",gov_report,p1_reference_state_fisher,0.7857142857142858,0.8214285714285714,1.0,0.5,0.0,0.08126479795363245,0.059523809523809534,0.0,0.20238095238095233,26.0,
