stage,score,stratum_type,stratum,sequence_count,spearman,spearman_bootstrap_ci_low,spearman_bootstrap_ci_high,pairwise_accuracy,top1_accuracy,positive_sequence_fraction,normalized_regret,median_exact_range
replication,relative_penultimate_exact_map_risk,model_task,llama32_1b|vt,2,0.8690476190476191,0.7380952380952381,1.0,0.9107142857142857,0.5,1.0,0.07793478664483053,9.800244191845184e-07
replication,relative_penultimate_exact_map_risk,model_task,qwen25_05b|qmsum,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.569488486524166e-06
replication,relative_penultimate_exact_map_risk,model_task,qwen25_05b|vt,2,0.9047619047619049,0.8333333333333335,0.9761904761904763,0.9107142857142857,0.5,1.0,0.0010724814614127896,2.067521443971813e-07
replication,relative_penultimate_path_k1_risk,overall,all,8,0.9196428571428572,0.8482142857142858,0.9761904761904763,0.9330357142857142,0.75,1.0,0.019751817026560828,5.539638227390485e-07
replication,relative_penultimate_path_k1_risk,model,llama32_1b,4,0.886904761904762,0.7857142857142858,0.9880952380952381,0.9107142857142856,0.75,1.0,0.038967393322415264,9.800244191845184e-07
replication,relative_penultimate_path_k1_risk,model,qwen25_05b,4,0.9523809523809524,0.8750000000000001,1.0,0.9553571428571429,0.75,1.0,0.0005362407307063948,5.539638227390485e-07
replication,relative_penultimate_path_k1_risk,task,qmsum,4,0.9523809523809524,0.8750000000000001,1.0,0.9553571428571428,1.0,1.0,0.0,1.569488486524166e-06
replication,relative_penultimate_path_k1_risk,task,vt,4,0.886904761904762,0.7857142857142858,0.9880952380952381,0.9107142857142857,0.5,1.0,0.039503634053121656,2.9488761749625183e-07
replication,relative_penultimate_path_k1_risk,model_task,llama32_1b|qmsum,2,0.9047619047619049,0.8333333333333335,0.9761904761904763,0.9107142857142857,1.0,1.0,0.0,5.390269358788907e-06
replication,relative_penultimate_path_k1_risk,model_task,llama32_1b|vt,2,0.8690476190476191,0.7380952380952381,1.0,0.9107142857142857,0.5,1.0,0.07793478664483053,9.800244191845184e-07
replication,relative_penultimate_path_k1_risk,model_task,qwen25_05b|qmsum,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.569488486524166e-06
replication,relative_penultimate_path_k1_risk,model_task,qwen25_05b|vt,2,0.9047619047619049,0.8333333333333335,0.9761904761904763,0.9107142857142857,0.5,1.0,0.0010724814614127896,2.067521443971813e-07
