sample_id,task,anchor,horizon_offset,attention_mean_w1_shared,blend_attention_contribution_25_w4_shared,baseline_tail,primary_tail,exact_kl_reduction,tail_category,large_loss_transition
synthetic_niah_40,niah_single_1,32,8,0.007489338982850313,0.006016978528350592,False,False,0.0014723604544997215,non_tail,unchanged
synthetic_niah_36,niah_single_1,16,14,0.3068442642688751,0.30532070994377136,False,False,0.0015235543251037598,non_tail,unchanged
synthetic_niah_40,niah_single_1,16,13,0.008443432860076427,0.0069099231623113155,False,False,0.001533509697765112,non_tail,unchanged
synthetic_niah_40,niah_single_1,32,16,0.041013382375240326,0.03947903960943222,False,False,0.0015343427658081055,non_tail,unchanged
gov_report:39,gov_report,16,8,0.005791639443486929,0.0042270091362297535,False,False,0.0015646303072571754,non_tail,unchanged
synthetic_niah_38,niah_single_1,16,15,0.007472245488315821,0.005868501029908657,False,False,0.0016037444584071636,non_tail,unchanged
gov_report:40,gov_report,32,12,0.007629190571606159,0.006003629881888628,False,False,0.0016255606897175312,non_tail,unchanged
synthetic_niah_40,niah_single_1,32,12,0.11798950284719467,0.11630210280418396,False,False,0.0016874000430107117,non_tail,unchanged
synthetic_niah_39,niah_single_1,32,9,0.006115166004747152,0.004007177893072367,False,False,0.0021079881116747856,non_tail,unchanged
gov_report:38,gov_report,16,5,0.00826528575271368,0.005953543353825808,False,False,0.0023117423988878727,non_tail,unchanged
gov_report:41,gov_report,48,6,0.016547907143831253,0.014161703176796436,False,False,0.0023862039670348167,non_tail,unchanged
synthetic_niah_40,niah_single_1,48,12,0.02348615974187851,0.02085726335644722,False,False,0.0026288963854312897,non_tail,unchanged
synthetic_niah_41,niah_single_1,16,15,0.12983272969722748,0.12712468206882477,False,False,0.00270804762840271,non_tail,unchanged
synthetic_niah_39,niah_single_1,32,7,0.03072158806025982,0.027991479262709618,False,False,0.0027301087975502014,non_tail,unchanged
gov_report:36,gov_report,48,13,0.3314139246940613,0.32867321372032166,False,False,0.002740710973739624,non_tail,unchanged
synthetic_niah_39,niah_single_1,32,6,0.06480766832828522,0.061925120651721954,False,False,0.002882547676563263,non_tail,unchanged
gov_report:36,gov_report,32,8,0.0925726592540741,0.08966625481843948,False,False,0.002906404435634613,non_tail,unchanged
synthetic_niah_38,niah_single_1,32,6,0.07866862416267395,0.07552508264780045,False,False,0.0031435415148735046,non_tail,unchanged
gov_report:39,gov_report,16,1,0.009799030609428883,0.006563758943229914,False,False,0.003235271666198969,non_tail,unchanged
synthetic_niah_36,niah_single_1,48,13,0.07747966796159744,0.07424240559339523,False,False,0.0032372623682022095,non_tail,unchanged
gov_report:36,gov_report,48,4,0.004834335297346115,0.0014391907025128603,False,False,0.003395144594833255,non_tail,unchanged
gov_report:38,gov_report,32,5,0.3012516498565674,0.2978373169898987,False,False,0.003414332866668701,non_tail,unchanged
gov_report:38,gov_report,32,8,0.014865990728139877,0.011422604322433472,False,False,0.0034433864057064056,non_tail,unchanged
gov_report:39,gov_report,32,6,0.019330507144331932,0.015790091827511787,False,False,0.0035404153168201447,non_tail,unchanged
gov_report:36,gov_report,48,10,0.17682744562625885,0.17326928675174713,False,False,0.0035581588745117188,non_tail,unchanged
